node_id,material_id,period_id,opening_quantity_units,opening_value_eur,receipt_value_eur,production_value_eur,pool_quantity_units,pool_value_eur,pool_unit_cost_eur_per_unit,outflow_value_eur,closing_quantity_units,closing_value_eur
NODE-0010,MAT-0003,P02,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0010,MAT-0003,P03,0.0,0.0,256.0,0,40.0,256.0,6.4,224.0,5.0,32.0
NODE-0010,MAT-0003,P04,5.0,32.0,0.0,0,5.0,32.0,6.4,0.0,5.0,32.0
NODE-0010,MAT-0003,P05,5.0,32.0,0.0,0,5.0,32.0,6.4,0.0,5.0,32.0
NODE-0010,MAT-0004,P01,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0010,MAT-0004,P02,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0010,MAT-0004,P03,0.0,0.0,362.0,0,70.0,362.0,5.1714286,362.0,0.0,0.0
NODE-0010,MAT-0004,P04,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0010,MAT-0004,P05,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0010,MAT-0005,P01,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0010,MAT-0005,P02,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0010,MAT-0005,P03,0.0,0.0,0.0,731.5,35.0,731.5,20.9,731.5,0.0,0.0
NODE-0010,MAT-0005,P04,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0010,MAT-0005,P05,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0011,MAT-0005,P01,10.0,246.0,0.0,0,10.0,246.0,24.6,0.0,10.0,246.0
NODE-0011,MAT-0005,P02,10.0,246.0,0.0,0,10.0,246.0,24.6,0.0,10.0,246.0
NODE-0011,MAT-0005,P03,10.0,246.0,0.0,0,10.0,246.0,24.6,0.0,10.0,246.0
NODE-0011,MAT-0005,P04,10.0,246.0,658.5,0,45.0,904.5,20.1,603.0,15.0,301.5
NODE-0011,MAT-0005,P05,15.0,301.5,0.0,0,15.0,301.5,20.1,201.0,5.0,100.5
NODE-0012,MAT-0005,P01,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0012,MAT-0005,P02,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0012,MAT-0005,P03,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0012,MAT-0005,P04,0.0,0.0,827.0,0,40.0,827.0,20.675,620.25,10.0,206.75
NODE-0012,MAT-0005,P05,10.0,206.75,0.0,0,10.0,206.75,20.675,206.75,0.0,0.0
NODE-0013,MAT-0005,P01,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0013,MAT-0005,P02,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0013,MAT-0005,P03,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0013,MAT-0005,P04,0.0,0.0,442.0,0,20.0,442.0,22.1,265.2,8.0,176.8
NODE-0013,MAT-0005,P05,8.0,176.8,0.0,0,8.0,176.8,22.1,176.8,0.0,0.0
