node_id,material_id,month,ordered_quantity,received_quantity,on_time_quantity,accepted_quantity,average_actual_lead_time_days,lead_time_std_days,quality_incident_count,source_completeness_flag
NODE-0001,MAT-0001,2026-06-01,1201.09,1076.05,997.59,1043.39,20.73,2.24,0,COMPLETE
NODE-0001,MAT-0001,2026-07-01,1131.55,1051.25,989.76,1019.73,21.4,2.24,0,COMPLETE
NODE-0001,MAT-0001,2026-08-01,1048.42,1017.16,963.93,981.94,22.34,2.24,0,COMPLETE
NODE-0001,MAT-0001,2026-09-01,960.83,943.08,890.31,905.36,23.3,2.24,1,COMPLETE
NODE-0001,MAT-0001,2026-10-01,878.44,836.81,779.53,802.37,24.06,2.24,1,COMPLETE
NODE-0001,MAT-0001,2026-11-01,810.31,737.41,673.42,710.09,24.43,2.24,1,COMPLETE
NODE-0001,MAT-0001,2026-12-01,763.94,682.16,609.55,660.71,24.32,2.24,0,COMPLETE
NODE-0001,MAT-0008,2024-07-01,1194.65,976.15,776.32,941.24,7.23,1.1,1,COMPLETE
NODE-0001,MAT-0008,2024-08-01,1245.47,1032.81,816.32,990.65,7.53,1.1,1,COMPLETE
NODE-0001,MAT-0008,2024-09-01,1270.14,1017.36,790.38,975.42,7.77,1.1,1,COMPLETE
NODE-0001,MAT-0008,2024-10-01,1265.95,959.94,727.74,924.8,7.86,1.1,1,COMPLETE
NODE-0001,MAT-0008,2024-11-01,1233.37,913.19,674.52,884.67,7.81,1.1,0,COMPLETE
NODE-0001,MAT-0008,2024-12-01,1175.97,898.2,649.61,871.24,7.61,1.1,0,COMPLETE
NODE-0001,MAT-0008,2025-01-01,1100.09,887.71,635.32,857.44,7.32,1.1,0,COMPLETE
NODE-0001,MAT-0008,2025-02-01,1014.07,841.85,604.3,808.43,7.0,1.1,1,COMPLETE
NODE-0001,MAT-0008,2025-03-01,927.37,753.16,549.16,721.75,6.75,1.1,1,COMPLETE
NODE-0001,MAT-0008,2025-04-01,849.56,653.66,488.19,628.67,6.61,1.1,1,COMPLETE
NODE-0001,MAT-0008,2025-05-01,789.19,585.0,448.48,565.99,6.62,1.1,0,COMPLETE
NODE-0001,MAT-0008,2025-06-01,752.9,567.39,444.62,550.5,6.78,1.1,0,COMPLETE
NODE-0001,MAT-0008,2025-07-01,744.7,592.08,469.93,572.81,7.05,1.1,0,COMPLETE
NODE-0001,MAT-0008,2025-08-01,765.48,633.46,503.19,609.21,7.37,1.1,1,COMPLETE
NODE-0001,MAT-0008,2025-09-01,812.97,667.57,524.34,639.73,7.65,1.1,1,COMPLETE
NODE-0001,MAT-0008,2025-10-01,881.92,689.49,530.32,662.14,7.83,1.1,1,COMPLETE
NODE-0001,MAT-0008,2025-11-01,964.75,719.37,539.14,694.88,7.86,1.1,0,COMPLETE
NODE-0001,MAT-0008,2025-12-01,1052.34,784.98,573.98,761.43,7.74,1.1,0,COMPLETE
NODE-0001,MAT-0008,2026-01-01,1135.05,888.06,638.37,860.3,7.49,1.1,0,COMPLETE
NODE-0001,MAT-0008,2026-02-01,1203.78,988.92,707.47,952.66,7.18,1.1,1,COMPLETE
NODE-0001,MAT-0008,2026-03-01,1250.95,1034.94,746.93,992.25,6.88,1.1,1,COMPLETE
NODE-0001,MAT-0008,2026-04-01,1271.38,1010.09,743.69,968.89,6.67,1.1,1,COMPLETE
NODE-0001,MAT-0008,2026-05-01,1262.81,951.13,718.54,917.17,6.59,1.1,1,COMPLETE
NODE-0001,MAT-0008,2026-06-01,1226.19,909.1,704.2,881.2,6.67,1.1,0,COMPLETE
NODE-0001,MAT-0008,2026-07-01,1165.55,897.43,708.11,870.21,6.89,1.1,0,COMPLETE
NODE-0001,MAT-0008,2026-08-01,1087.57,883.77,702.77,852.86,7.19,1.1,0,COMPLETE
NODE-0001,MAT-0008,2026-09-01,1000.83,830.82,657.66,797.3,7.5,1.1,1,COMPLETE
NODE-0001,MAT-0008,2026-10-01,914.87,737.78,574.79,707.16,7.74,1.1,1,COMPLETE
NODE-0001,MAT-0008,2026-11-01,839.17,640.52,487.28,616.57,7.86,1.1,1,COMPLETE
NODE-0001,MAT-0008,2026-12-01,782.06,579.01,429.09,560.61,7.82,1.1,0,COMPLETE
NODE-0002,MAT-0002,2024-07-01,1201.37,1027.03,854.41,983.8,8.97,1.25,1,COMPLETE
NODE-0002,MAT-0002,2024-08-01,1249.53,1081.49,894.42,1030.51,9.34,1.25,1,COMPLETE
NODE-0002,MAT-0002,2024-09-01,1271.11,1062.73,864.57,1012.2,9.63,1.25,1,COMPLETE
NODE-0002,MAT-0002,2024-10-01,1263.72,1002.91,797.07,959.85,9.75,1.25,1,COMPLETE
NODE-0002,MAT-0002,2024-11-01,1228.18,954.53,740.03,918.69,9.68,1.25,1,COMPLETE
NODE-0002,MAT-0002,2024-12-01,1168.4,936.93,711.96,902.89,9.44,1.25,1,COMPLETE
NODE-0002,MAT-0002,2025-01-01,1090.96,921.88,693.55,884.62,9.08,1.25,1,COMPLETE
NODE-0002,MAT-0002,2025-02-01,1004.39,870.71,656.92,830.63,8.69,1.25,1,COMPLETE
NODE-0002,MAT-0002,2025-03-01,918.22,778.14,595.88,740.76,8.37,1.25,1,COMPLETE
NODE-0002,MAT-0002,2025-04-01,841.93,677.35,530.7,647.16,8.19,1.25,1,COMPLETE
NODE-0002,MAT-0002,2025-05-01,783.92,609.58,489.66,585.91,8.21,1.25,1,COMPLETE
NODE-0002,MAT-0002,2025-06-01,750.58,594.04,487.27,572.6,8.41,1.25,1,COMPLETE
NODE-0002,MAT-0002,2025-07-01,745.58,621.29,515.88,597.14,8.74,1.25,1,COMPLETE
NODE-0002,MAT-0002,2025-08-01,769.47,665.37,552.91,635.68,9.14,1.25,1,COMPLETE
NODE-0002,MAT-0002,2025-09-01,819.62,702.23,577.29,668.5,9.48,1.25,1,COMPLETE
NODE-0002,MAT-0002,2025-10-01,890.5,727.37,586.1,693.91,9.71,1.25,1,COMPLETE
NODE-0002,MAT-0002,2025-11-01,974.32,761.47,598.59,730.73,9.75,1.25,1,COMPLETE
NODE-0002,MAT-0002,2025-12-01,1061.85,831.85,638.73,801.64,9.6,1.25,1,COMPLETE
NODE-0002,MAT-0002,2026-01-01,1143.45,938.4,708.95,903.13,9.29,1.25,1,COMPLETE
NODE-0002,MAT-0002,2026-02-01,1210.14,1039.63,781.84,994.94,8.91,1.25,1,COMPLETE
NODE-0002,MAT-0002,2026-03-01,1254.57,1083.13,821.4,1031.6,8.53,1.25,1,COMPLETE
NODE-0002,MAT-0002,2026-04-01,1271.86,1055.02,815.42,1005.31,8.27,1.25,1,COMPLETE
NODE-0002,MAT-0002,2026-05-01,1260.11,993.84,787.22,952.06,8.17,1.25,1,COMPLETE
NODE-0002,MAT-0002,2026-06-01,1220.6,950.16,770.82,914.99,8.27,1.25,1,COMPLETE
NODE-0002,MAT-0002,2026-07-01,1157.69,935.6,772.5,901.3,8.54,1.25,1,COMPLETE
NODE-0002,MAT-0002,2026-08-01,1078.3,917.13,762.9,879.26,8.91,1.25,1,COMPLETE
NODE-0002,MAT-0002,2026-09-01,991.16,858.95,711.4,818.87,9.3,1.25,1,COMPLETE
NODE-0002,MAT-0002,2026-10-01,905.89,762.39,621.9,725.93,9.6,1.25,1,COMPLETE
NODE-0002,MAT-0002,2026-11-01,831.85,664.23,529.65,635.19,9.75,1.25,1,COMPLETE
NODE-0002,MAT-0002,2026-12-01,777.21,603.84,469.62,580.83,9.7,1.25,1,COMPLETE
NODE-0002,MAT-0009,2024-07-01,1201.45,1027.65,855.38,998.52,22.04,3.07,0,COMPLETE
NODE-0002,MAT-0009,2024-08-01,1249.58,1082.07,895.38,1045.94,22.98,3.07,0,COMPLETE
NODE-0002,MAT-0009,2024-09-01,1271.12,1063.28,865.48,1027.34,23.68,3.07,0,COMPLETE
NODE-0002,MAT-0009,2024-10-01,1263.69,1003.43,797.92,974.13,23.98,3.07,0,COMPLETE
NODE-0002,MAT-0009,2024-11-01,1228.11,955.03,740.84,932.29,23.81,3.07,0,COMPLETE
NODE-0002,MAT-0009,2024-12-01,1168.31,937.4,712.72,916.22,23.21,3.07,0,COMPLETE
NODE-0002,MAT-0009,2025-01-01,1090.85,922.28,694.26,897.69,22.32,3.07,0,COMPLETE
NODE-0002,MAT-0009,2025-02-01,1004.28,871.05,657.57,842.93,21.36,3.07,0,COMPLETE
NODE-0002,MAT-0009,2025-03-01,918.11,778.43,596.45,751.75,20.57,3.07,0,COMPLETE
NODE-0002,MAT-0009,2025-04-01,841.84,677.63,531.22,656.75,20.14,3.07,0,COMPLETE
NODE-0002,MAT-0009,2025-05-01,783.86,609.88,490.17,594.58,20.18,3.07,0,COMPLETE
NODE-0002,MAT-0009,2025-06-01,750.56,594.36,487.8,581.08,20.67,3.07,0,COMPLETE
NODE-0002,MAT-0009,2025-07-01,745.59,621.65,516.45,606.03,21.5,3.07,0,COMPLETE
NODE-0002,MAT-0009,2025-08-01,769.52,665.75,553.53,645.2,22.46,3.07,0,COMPLETE
NODE-0002,MAT-0009,2025-09-01,819.7,702.65,577.95,678.56,23.32,3.07,0,COMPLETE
NODE-0002,MAT-0009,2025-10-01,890.6,727.83,586.8,704.36,23.87,3.07,0,COMPLETE
NODE-0002,MAT-0009,2025-11-01,974.43,761.98,599.33,741.7,23.97,3.07,0,COMPLETE
NODE-0002,MAT-0009,2025-12-01,1061.96,832.42,639.54,813.63,23.6,3.07,0,COMPLETE
NODE-0002,MAT-0009,2026-01-01,1143.55,939.02,709.82,916.63,22.85,3.07,0,COMPLETE
NODE-0002,MAT-0009,2026-02-01,1210.21,1040.25,782.76,1009.82,21.9,3.07,0,COMPLETE
NODE-0002,MAT-0009,2026-03-01,1254.61,1083.71,822.32,1047.05,20.99,3.07,0,COMPLETE
NODE-0002,MAT-0009,2026-04-01,1271.87,1055.56,816.31,1020.34,20.33,3.07,0,COMPLETE
NODE-0002,MAT-0009,2026-05-01,1260.07,994.35,788.07,966.22,20.1,3.07,0,COMPLETE
NODE-0002,MAT-0009,2026-06-01,1220.53,950.65,771.64,928.53,20.34,3.07,0,COMPLETE
NODE-0002,MAT-0009,2026-07-01,1157.59,936.05,773.29,914.61,21.0,3.07,0,COMPLETE
NODE-0002,MAT-0009,2026-08-01,1078.18,917.53,763.64,892.25,21.92,3.07,0,COMPLETE
NODE-0002,MAT-0009,2026-09-01,991.05,859.29,712.06,831.0,22.86,3.07,0,COMPLETE
NODE-0002,MAT-0009,2026-10-01,905.78,762.68,622.48,736.69,23.61,3.07,0,COMPLETE
NODE-0002,MAT-0009,2026-11-01,831.77,664.51,530.17,644.6,23.97,3.07,0,COMPLETE
NODE-0002,MAT-0009,2026-12-01,777.15,604.14,470.12,589.42,23.86,3.07,0,COMPLETE
NODE-0003,MAT-0003,2024-07-01,1200.41,1019.66,842.87,1003.24,6.08,0.86,0,COMPLETE
NODE-0003,MAT-0003,2024-08-01,1248.97,1074.45,882.9,1051.72,6.34,0.86,0,COMPLETE
NODE-0003,MAT-0003,2024-09-01,1270.99,1056.18,853.64,1033.41,6.53,0.86,0,COMPLETE
NODE-0003,MAT-0003,2024-10-01,1264.06,996.72,786.86,979.83,6.61,0.86,0,COMPLETE
NODE-0003,MAT-0003,2024-11-01,1228.95,948.59,730.39,937.62,6.57,0.86,0,COMPLETE
NODE-0003,MAT-0003,2024-12-01,1169.51,931.38,702.8,921.74,6.4,0.86,0,COMPLETE
NODE-0003,MAT-0003,2025-01-01,1092.29,916.98,685.01,903.76,6.15,0.86,0,COMPLETE
NODE-0003,MAT-0003,2025-02-01,1005.79,866.58,649.21,849.21,5.89,0.86,0,COMPLETE
NODE-0003,MAT-0003,2025-03-01,919.54,774.56,589.03,757.49,5.67,0.86,0,COMPLETE
NODE-0003,MAT-0003,2025-04-01,843.02,673.94,524.46,661.43,5.55,0.86,0,COMPLETE
NODE-0003,MAT-0003,2025-05-01,784.67,606.03,483.59,598.25,5.56,0.86,0,COMPLETE
NODE-0003,MAT-0003,2025-06-01,750.9,590.17,480.98,584.21,5.7,0.86,0,COMPLETE
NODE-0003,MAT-0003,2025-07-01,745.43,617.05,509.08,609.1,5.93,0.86,0,COMPLETE
NODE-0003,MAT-0003,2025-08-01,768.87,660.72,545.55,648.41,6.19,0.86,0,COMPLETE
NODE-0003,MAT-0003,2025-09-01,818.64,697.18,569.44,681.81,6.43,0.86,0,COMPLETE
NODE-0003,MAT-0003,2025-10-01,889.25,721.84,577.83,707.4,6.58,0.86,0,COMPLETE
NODE-0003,MAT-0003,2025-11-01,972.93,755.33,589.76,744.47,6.61,0.86,0,COMPLETE
NODE-0003,MAT-0003,2025-12-01,1060.48,825.03,629.12,816.5,6.51,0.86,0,COMPLETE
NODE-0003,MAT-0003,2026-01-01,1142.24,931.09,698.48,920.29,6.3,0.86,0,COMPLETE
NODE-0003,MAT-0003,2026-02-01,1209.23,1032.28,770.84,1014.74,6.04,0.86,0,COMPLETE
NODE-0003,MAT-0003,2026-03-01,1254.07,1076.16,810.42,1052.94,5.79,0.86,0,COMPLETE
NODE-0003,MAT-0003,2026-04-01,1271.82,1048.53,804.86,1026.39,5.61,0.86,0,COMPLETE
NODE-0003,MAT-0003,2026-05-01,1260.52,987.69,777.11,971.84,5.54,0.86,0,COMPLETE
NODE-0003,MAT-0003,2026-06-01,1221.43,944.25,761.03,933.85,5.61,0.86,0,COMPLETE
NODE-0003,MAT-0003,2026-07-01,1158.84,930.12,763.05,920.2,5.79,0.86,0,COMPLETE
NODE-0003,MAT-0003,2026-08-01,1079.64,912.36,754.1,898.39,6.04,0.86,0,COMPLETE
NODE-0003,MAT-0003,2026-09-01,992.56,854.93,703.54,837.25,6.3,0.86,0,COMPLETE
NODE-0003,MAT-0003,2026-10-01,907.18,758.86,615.0,742.29,6.51,0.86,0,COMPLETE
NODE-0003,MAT-0003,2026-11-01,832.9,660.82,523.43,649.11,6.61,0.86,0,COMPLETE
NODE-0003,MAT-0003,2026-12-01,777.89,600.25,463.65,592.98,6.58,0.86,0,COMPLETE
NODE-0003,MAT-0010,2024-07-01,1214.22,1131.2,1025.4,1074.82,9.71,1.11,1,COMPLETE
NODE-0003,MAT-0010,2024-08-01,1256.8,1180.27,1064.11,1115.49,10.12,1.11,1,COMPLETE
NODE-0003,MAT-0010,2024-09-01,1271.99,1154.2,1025.03,1090.38,10.43,1.11,1,COMPLETE
NODE-0003,MAT-0010,2024-10-01,1258.12,1089.08,946.74,1033.88,10.57,1.11,1,COMPLETE
NODE-0003,MAT-0010,2024-11-01,1216.72,1036.93,881.21,989.96,10.49,1.11,1,COMPLETE
NODE-0003,MAT-0010,2024-12-01,1152.34,1013.48,845.68,968.8,10.22,1.11,1,COMPLETE
NODE-0003,MAT-0010,2025-01-01,1072.07,988.85,817.65,941.22,9.83,1.11,1,COMPLETE
NODE-0003,MAT-0010,2025-02-01,984.74,927.07,768.56,877.21,9.41,1.11,1,COMPLETE
NODE-0003,MAT-0010,2025-03-01,899.98,827.22,695.14,781.08,9.06,1.11,1,COMPLETE
NODE-0003,MAT-0010,2025-04-01,827.11,724.57,621.71,686.66,8.87,1.11,1,COMPLETE
NODE-0003,MAT-0010,2025-05-01,774.15,659.34,578.78,628.63,8.89,1.11,1,COMPLETE
NODE-0003,MAT-0010,2025-06-01,746.93,648.74,580.5,620.3,9.11,1.11,1,COMPLETE
NODE-0003,MAT-0010,2025-07-01,748.46,681.89,617.03,650.1,9.47,1.11,1,COMPLETE
NODE-0003,MAT-0010,2025-08-01,778.56,731.98,662.84,693.65,9.9,1.11,1,COMPLETE
NODE-0003,MAT-0010,2025-09-01,833.91,774.8,694.71,731.58,10.27,1.11,1,COMPLETE
NODE-0003,MAT-0010,2025-10-01,908.43,806.73,710.19,763.37,10.51,1.11,1,COMPLETE
NODE-0003,MAT-0010,2025-11-01,993.92,849.52,731.14,808.65,10.56,1.11,1,COMPLETE
NODE-0003,MAT-0010,2025-12-01,1080.95,929.39,782.91,888.43,10.4,1.11,1,COMPLETE
NODE-0003,MAT-0010,2026-01-01,1159.95,1042.31,865.15,995.06,10.06,1.11,1,COMPLETE
NODE-0003,MAT-0010,2026-02-01,1222.22,1143.31,945.05,1085.3,9.65,1.11,1,COMPLETE
NODE-0003,MAT-0010,2026-03-01,1260.91,1180.81,983.51,1115.49,9.25,1.11,1,COMPLETE
NODE-0003,MAT-0010,2026-04-01,1271.76,1145.51,970.77,1082.67,8.96,1.11,1,COMPLETE
NODE-0003,MAT-0010,2026-05-01,1253.57,1079.42,935.48,1025.68,8.85,1.11,1,COMPLETE
NODE-0003,MAT-0010,2026-06-01,1208.35,1031.9,914.06,985.7,8.96,1.11,1,COMPLETE
NODE-0003,MAT-0010,2026-07-01,1141.07,1010.92,910.06,966.03,9.25,1.11,1,COMPLETE
NODE-0003,MAT-0010,2026-08-01,1059.15,982.46,890.49,934.28,9.65,1.11,1,COMPLETE
NODE-0003,MAT-0010,2026-09-01,971.59,913.91,825.06,864.18,10.07,1.11,1,COMPLETE
NODE-0003,MAT-0010,2026-10-01,888.04,810.85,721.87,765.78,10.4,1.11,1,COMPLETE
NODE-0003,MAT-0010,2026-11-01,817.7,711.6,620.47,674.98,10.56,1.11,1,COMPLETE
NODE-0003,MAT-0010,2026-12-01,768.3,654.23,557.59,624.23,10.51,1.11,1,COMPLETE
NODE-0004,MAT-0004,2024-07-01,1200.72,1022.03,846.58,999.96,23.44,3.3,0,COMPLETE
NODE-0004,MAT-0004,2024-08-01,1249.15,1076.72,886.6,1048.02,24.43,3.3,0,COMPLETE
NODE-0004,MAT-0004,2024-09-01,1271.03,1058.29,857.16,1029.66,25.18,3.3,0,COMPLETE
NODE-0004,MAT-0004,2024-10-01,1263.95,998.71,790.14,976.3,25.5,3.3,0,COMPLETE
NODE-0004,MAT-0004,2024-11-01,1228.7,950.5,733.49,934.29,25.32,3.3,0,COMPLETE
NODE-0004,MAT-0004,2024-12-01,1169.15,933.17,705.74,918.38,24.68,3.3,0,COMPLETE
NODE-0004,MAT-0004,2025-01-01,1091.86,918.56,687.76,900.26,23.73,3.3,0,COMPLETE
NODE-0004,MAT-0004,2025-02-01,1005.34,867.91,651.69,845.75,22.72,3.3,0,COMPLETE
NODE-0004,MAT-0004,2025-03-01,919.11,775.71,591.24,754.35,21.88,3.3,0,COMPLETE
NODE-0004,MAT-0004,2025-04-01,842.67,675.04,526.46,658.79,21.42,3.3,0,COMPLETE
NODE-0004,MAT-0004,2025-05-01,784.43,607.17,485.54,596.04,21.46,3.3,0,COMPLETE
NODE-0004,MAT-0004,2025-06-01,750.8,591.42,483.0,582.19,21.98,3.3,0,COMPLETE
NODE-0004,MAT-0004,2025-07-01,745.48,618.41,511.27,607.05,22.86,3.3,0,COMPLETE
NODE-0004,MAT-0004,2025-08-01,769.06,662.21,547.91,646.24,23.89,3.3,0,COMPLETE
NODE-0004,MAT-0004,2025-09-01,818.95,698.8,571.96,679.56,24.8,3.3,0,COMPLETE
NODE-0004,MAT-0004,2025-10-01,889.65,723.62,580.48,705.17,25.38,3.3,0,COMPLETE
NODE-0004,MAT-0004,2025-11-01,973.38,757.31,592.6,742.26,25.49,3.3,0,COMPLETE
NODE-0004,MAT-0004,2025-12-01,1060.92,827.22,632.21,814.13,25.09,3.3,0,COMPLETE
NODE-0004,MAT-0004,2026-01-01,1142.63,933.45,701.84,917.49,24.29,3.3,0,COMPLETE
NODE-0004,MAT-0004,2026-02-01,1209.52,1034.65,774.38,1011.37,23.29,3.3,0,COMPLETE
NODE-0004,MAT-0004,2026-03-01,1254.23,1078.41,813.95,1049.21,22.32,3.3,0,COMPLETE
NODE-0004,MAT-0004,2026-04-01,1271.83,1050.62,808.25,1022.65,21.62,3.3,0,COMPLETE
NODE-0004,MAT-0004,2026-05-01,1260.39,989.67,780.36,968.35,21.37,3.3,0,COMPLETE
NODE-0004,MAT-0004,2026-06-01,1221.16,946.16,764.18,930.53,21.63,3.3,0,COMPLETE
NODE-0004,MAT-0004,2026-07-01,1158.47,931.89,766.09,916.82,22.33,3.3,0,COMPLETE
NODE-0004,MAT-0004,2026-08-01,1079.21,913.9,756.93,894.88,23.3,3.3,0,COMPLETE
NODE-0004,MAT-0004,2026-09-01,992.11,856.23,706.07,833.82,24.31,3.3,0,COMPLETE
NODE-0004,MAT-0004,2026-10-01,906.76,760.0,617.22,739.22,25.1,3.3,0,COMPLETE
NODE-0004,MAT-0004,2026-11-01,832.56,661.92,525.43,646.55,25.49,3.3,0,COMPLETE
NODE-0004,MAT-0004,2026-12-01,777.67,601.41,465.57,590.81,25.38,3.3,0,COMPLETE
NODE-0004,MAT-0011,2024-07-01,1226.78,1226.78,1210.55,1212.84,9.24,0.8,0,COMPLETE
NODE-0004,MAT-0011,2024-08-01,1263.08,1263.08,1240.19,1242.35,9.63,0.8,0,COMPLETE
NODE-0004,MAT-0011,2024-09-01,1271.3,1251.17,1211.61,1230.12,9.93,0.8,0,COMPLETE
NODE-0004,MAT-0011,2024-10-01,1250.54,1179.78,1120.32,1165.37,10.06,0.8,0,COMPLETE
NODE-0004,MAT-0011,2024-11-01,1203.08,1122.88,1044.43,1115.22,9.98,0.8,0,COMPLETE
NODE-0004,MAT-0011,2024-12-01,1134.14,1092.41,999.26,1086.28,9.73,0.8,0,COMPLETE
NODE-0004,MAT-0011,2025-01-01,1051.31,1051.31,953.73,1041.13,9.36,0.8,0,COMPLETE
NODE-0004,MAT-0011,2025-02-01,963.72,963.72,876.33,948.97,8.96,0.8,0,COMPLETE
NODE-0004,MAT-0011,2025-03-01,881.0,877.72,808.05,862.53,8.63,0.8,0,COMPLETE
NODE-0004,MAT-0011,2025-04-01,812.27,774.23,726.5,763.52,8.45,0.8,0,COMPLETE
NODE-0004,MAT-0011,2025-05-01,765.07,712.88,683.03,707.11,8.46,0.8,0,COMPLETE
NODE-0004,MAT-0011,2025-06-01,744.63,708.7,691.07,704.9,8.67,0.8,0,COMPLETE
NODE-0004,MAT-0011,2025-07-01,753.17,749.2,738.1,743.1,9.02,0.8,0,COMPLETE
NODE-0004,MAT-0011,2025-08-01,789.77,789.77,778.59,778.81,9.42,0.8,0,COMPLETE
NODE-0004,MAT-0011,2025-09-01,850.39,850.39,830.78,835.68,9.78,0.8,0,COMPLETE
NODE-0004,MAT-0011,2025-10-01,928.37,895.71,860.46,882.04,10.01,0.8,0,COMPLETE
NODE-0004,MAT-0011,2025-11-01,1015.11,947.92,891.95,938.79,10.05,0.8,0,COMPLETE
NODE-0004,MAT-0011,2025-12-01,1101.06,1037.53,957.33,1031.73,9.89,0.8,0,COMPLETE
NODE-0004,MAT-0011,2026-01-01,1176.78,1156.17,1052.49,1148.24,9.58,0.8,0,COMPLETE
NODE-0004,MAT-0011,2026-02-01,1233.91,1233.91,1119.02,1218.78,9.18,0.8,0,COMPLETE
NODE-0004,MAT-0011,2026-03-01,1266.17,1266.17,1156.28,1244.85,8.8,0.8,0,COMPLETE
NODE-0004,MAT-0011,2026-04-01,1270.01,1241.34,1151.66,1221.0,8.53,0.8,0,COMPLETE
NODE-0004,MAT-0011,2026-05-01,1245.01,1169.39,1107.36,1156.17,8.43,0.8,0,COMPLETE
NODE-0004,MAT-0011,2026-06-01,1193.92,1117.02,1079.16,1110.0,8.53,0.8,0,COMPLETE
NODE-0004,MAT-0011,2026-07-01,1122.36,1088.45,1067.25,1081.99,8.81,0.8,0,COMPLETE
NODE-0004,MAT-0011,2026-08-01,1038.21,1038.21,1024.39,1027.23,9.19,0.8,0,COMPLETE
NODE-0004,MAT-0011,2026-09-01,950.73,950.73,934.64,935.58,9.59,0.8,0,COMPLETE
NODE-0004,MAT-0011,2026-10-01,869.56,860.84,835.51,846.12,9.9,0.8,0,COMPLETE
NODE-0004,MAT-0011,2026-11-01,803.63,761.6,725.23,751.71,10.05,0.8,0,COMPLETE
NODE-0004,MAT-0011,2026-12-01,760.2,708.63,660.86,703.4,10.01,0.8,0,COMPLETE
NODE-0005,MAT-0005,2024-07-01,1219.9,1180.67,1111.86,1152.08,9.04,0.92,0,COMPLETE
NODE-0005,MAT-0005,2024-08-01,1259.76,1226.78,1149.28,1190.88,9.42,0.92,0,COMPLETE
NODE-0005,MAT-0005,2024-09-01,1271.9,1196.98,1105.21,1161.47,9.71,0.92,0,COMPLETE
NODE-0005,MAT-0005,2024-10-01,1254.99,1129.18,1021.4,1100.88,9.83,0.92,0,COMPLETE
NODE-0005,MAT-0005,2024-11-01,1210.89,1075.03,951.48,1053.88,9.76,0.92,0,COMPLETE
NODE-0005,MAT-0005,2024-12-01,1144.46,1048.58,911.93,1029.23,9.51,0.92,0,COMPLETE
NODE-0005,MAT-0005,2025-01-01,1063.0,1019.31,878.77,996.34,9.15,0.92,0,COMPLETE
NODE-0005,MAT-0005,2025-02-01,975.49,952.65,823.34,925.83,8.76,0.92,0,COMPLETE
NODE-0005,MAT-0005,2025-03-01,891.56,849.67,743.95,824.06,8.43,0.92,0,COMPLETE
NODE-0005,MAT-0005,2025-04-01,820.44,746.5,666.84,726.58,8.26,0.92,0,COMPLETE
