node_id,recipe_id,period_id,regular_output_capacity,surge_output_capacity,surge_conversion_premium,planned_downtime_fraction,shared_capacity_group_id,shared_capacity_coefficient
NODE-0017,RCP-00004,P08,638.37,159.59,2.8124,0.0,SHR-NODE-0017,0.8775
NODE-0017,RCP-00004,P09,624.43,156.11,2.8172,0.0,SHR-NODE-0017,0.8775
NODE-0017,RCP-00004,P10,618.79,154.7,2.8291,0.0,SHR-NODE-0017,0.8775
NODE-0017,RCP-00004,P11,622.6,155.65,2.8453,0.0,SHR-NODE-0017,0.8775
NODE-0017,RCP-00004,P12,635.09,158.77,2.8618,0.15,SHR-NODE-0017,0.8775
NODE-0015,RCP-00005,P01,558.82,139.7,3.1379,0.0,SHR-NODE-0015,0.8684
NODE-0015,RCP-00005,P02,543.09,135.77,3.1241,0.15,SHR-NODE-0015,0.8684
NODE-0015,RCP-00005,P03,532.8,133.2,3.1061,0.0,SHR-NODE-0015,0.8684
NODE-0015,RCP-00005,P04,530.01,132.5,3.0884,0.0,SHR-NODE-0015,0.8684
NODE-0015,RCP-00005,P05,535.3,133.83,3.0752,0.0,SHR-NODE-0015,0.8684
NODE-0015,RCP-00005,P06,547.6,136.9,3.0698,0.0,SHR-NODE-0015,0.8684
NODE-0015,RCP-00005,P07,564.4,141.1,3.0736,0.0,SHR-NODE-0015,0.8684
NODE-0015,RCP-00005,P08,582.3,145.58,3.0855,0.0,SHR-NODE-0015,0.8684
NODE-0015,RCP-00005,P09,597.66,149.42,3.1028,0.0,SHR-NODE-0015,0.8684
NODE-0015,RCP-00005,P10,607.36,151.84,3.121,0.0,SHR-NODE-0015,0.8684
NODE-0015,RCP-00005,P11,609.43,152.36,3.1359,0.0,SHR-NODE-0015,0.8684
NODE-0015,RCP-00005,P12,603.45,150.86,3.1437,0.0,SHR-NODE-0015,0.8684
NODE-0018,RCP-00006,P01,811.13,202.78,2.8064,0.0,SHR-NODE-0018,0.8262
NODE-0018,RCP-00006,P02,827.54,206.89,2.7983,0.0,SHR-NODE-0018,0.8262
NODE-0018,RCP-00006,P03,834.26,208.56,2.7843,0.0,SHR-NODE-0018,0.8262
NODE-0018,RCP-00006,P04,829.9,207.47,2.7678,0.0,SHR-NODE-0018,0.8262
NODE-0018,RCP-00006,P05,815.35,203.84,2.753,0.0,SHR-NODE-0018,0.8262
NODE-0018,RCP-00006,P06,793.57,198.39,2.7433,0.0,SHR-NODE-0018,0.8262
NODE-0018,RCP-00006,P07,768.99,192.25,2.7413,0.0,SHR-NODE-0018,0.8262
NODE-0018,RCP-00006,P08,746.58,186.65,2.7474,0.0,SHR-NODE-0018,0.8262
NODE-0018,RCP-00006,P09,730.91,182.73,2.76,0.15,SHR-NODE-0018,0.8262
NODE-0018,RCP-00006,P10,725.16,181.29,2.7762,0.0,SHR-NODE-0018,0.8262
NODE-0018,RCP-00006,P11,730.49,182.62,2.7919,0.0,SHR-NODE-0018,0.8262
NODE-0018,RCP-00006,P12,745.82,186.46,2.8033,0.0,SHR-NODE-0018,0.8262
NODE-0016,RCP-00007,P01,667.78,166.94,2.2804,0.0,SHR-NODE-0016,0.8572
NODE-0016,RCP-00007,P02,649.15,162.29,2.2706,0.0,SHR-NODE-0016,0.8572
NODE-0016,RCP-00007,P03,628.95,157.24,2.2576,0.0,SHR-NODE-0016,0.8572
NODE-0016,RCP-00007,P04,611.27,152.82,2.2446,0.0,SHR-NODE-0016,0.8572
NODE-0016,RCP-00007,P05,599.71,149.93,2.2348,0.0,SHR-NODE-0016,0.8572
NODE-0016,RCP-00007,P06,596.61,149.15,2.2306,0.15,SHR-NODE-0016,0.8572
NODE-0016,RCP-00007,P07,602.6,150.65,2.233,0.0,SHR-NODE-0016,0.8572
NODE-0016,RCP-00007,P08,616.47,154.12,2.2414,0.0,SHR-NODE-0016,0.8572
NODE-0016,RCP-00007,P09,635.4,158.85,2.2538,0.0,SHR-NODE-0016,0.8572
NODE-0016,RCP-00007,P10,655.55,163.89,2.2671,0.0,SHR-NODE-0016,0.8572
NODE-0016,RCP-00007,P11,672.81,168.2,2.2781,0.0,SHR-NODE-0016,0.8572
NODE-0016,RCP-00007,P12,683.7,170.92,2.2841,0.0,SHR-NODE-0016,0.8572
NODE-0019,RCP-00008,P01,687.25,171.81,2.116,0.15,SHR-NODE-0019,0.9667
NODE-0019,RCP-00008,P02,665.86,166.47,2.1198,0.0,SHR-NODE-0019,0.9667
NODE-0019,RCP-00008,P03,647.42,161.86,2.1174,0.0,SHR-NODE-0019,0.9667
NODE-0019,RCP-00008,P04,635.67,158.92,2.1094,0.0,SHR-NODE-0019,0.9667
NODE-0019,RCP-00008,P05,633.0,158.25,2.0979,0.0,SHR-NODE-0019,0.9667
NODE-0019,RCP-00008,P06,639.95,159.99,2.0855,0.0,SHR-NODE-0019,0.9667
NODE-0019,RCP-00008,P07,655.11,163.78,2.0754,0.15,SHR-NODE-0019,0.9667
NODE-0019,RCP-00008,P08,675.4,168.85,2.07,0.0,SHR-NODE-0019,0.9667
NODE-0019,RCP-00008,P09,696.7,174.18,2.0707,0.0,SHR-NODE-0019,0.9667
NODE-0019,RCP-00008,P10,714.69,178.67,2.0772,0.15,SHR-NODE-0019,0.9667
NODE-0019,RCP-00008,P11,725.71,181.43,2.088,0.0,SHR-NODE-0019,0.9667
NODE-0019,RCP-00008,P12,727.52,181.88,2.1004,0.15,SHR-NODE-0019,0.9667
NODE-0017,RCP-00009,P01,690.72,172.68,2.7125,0.0,SHR-NODE-0017,1.0871
NODE-0017,RCP-00009,P02,705.28,176.32,2.702,0.0,SHR-NODE-0017,1.0871
NODE-0017,RCP-00009,P03,711.72,177.93,2.687,0.0,SHR-NODE-0017,1.0871
NODE-0017,RCP-00009,P04,708.74,177.19,2.6713,0.0,SHR-NODE-0017,1.0871
NODE-0017,RCP-00009,P05,696.95,174.24,2.6586,0.0,SHR-NODE-0017,1.0871
NODE-0017,RCP-00009,P06,678.73,169.68,2.6521,0.15,SHR-NODE-0017,1.0871
NODE-0017,RCP-00009,P07,657.78,164.45,2.6534,0.0,SHR-NODE-0017,1.0871
NODE-0017,RCP-00009,P08,638.37,159.59,2.6621,0.0,SHR-NODE-0017,1.0871
NODE-0017,RCP-00009,P09,624.43,156.11,2.6762,0.0,SHR-NODE-0017,1.0871
NODE-0017,RCP-00009,P10,618.79,154.7,2.6921,0.0,SHR-NODE-0017,1.0871
NODE-0017,RCP-00009,P11,622.6,155.65,2.706,0.0,SHR-NODE-0017,1.0871
NODE-0017,RCP-00009,P12,635.09,158.77,2.7145,0.15,SHR-NODE-0017,1.0871
NODE-0020,RCP-00010,P01,692.83,173.21,2.3839,0.0,SHR-NODE-0020,1.0711
NODE-0020,RCP-00010,P02,672.44,168.11,2.3731,0.0,SHR-NODE-0020,1.0711
NODE-0020,RCP-00010,P03,651.65,162.91,2.3681,0.0,SHR-NODE-0020,1.0711
NODE-0020,RCP-00010,P04,634.7,158.67,2.3701,0.15,SHR-NODE-0020,1.0711
NODE-0020,RCP-00010,P05,625.01,156.25,2.3786,0.0,SHR-NODE-0020,1.0711
NODE-0020,RCP-00010,P06,624.57,156.14,2.3916,0.0,SHR-NODE-0020,1.0711
NODE-0020,RCP-00010,P07,633.45,158.36,2.4058,0.15,SHR-NODE-0020,1.0711
NODE-0020,RCP-00010,P08,649.86,162.46,2.4177,0.0,SHR-NODE-0020,1.0711
NODE-0020,RCP-00010,P09,670.46,167.62,2.4246,0.0,SHR-NODE-0020,1.0711
NODE-0020,RCP-00010,P10,691.07,172.77,2.4246,0.0,SHR-NODE-0020,1.0711
NODE-0020,RCP-00010,P11,707.51,176.88,2.4178,0.0,SHR-NODE-0020,1.0711
NODE-0020,RCP-00010,P12,716.43,179.11,2.4058,0.0,SHR-NODE-0020,1.0711
NODE-0018,RCP-00011,P01,811.13,202.78,2.2989,0.0,SHR-NODE-0018,1.0656
NODE-0018,RCP-00011,P02,827.54,206.89,2.302,0.0,SHR-NODE-0018,1.0656
NODE-0018,RCP-00011,P03,834.26,208.56,2.2984,0.0,SHR-NODE-0018,1.0656
NODE-0018,RCP-00011,P04,829.9,207.47,2.289,0.0,SHR-NODE-0018,1.0656
NODE-0018,RCP-00011,P05,815.35,203.84,2.2762,0.0,SHR-NODE-0018,1.0656
NODE-0018,RCP-00011,P06,793.57,198.39,2.2629,0.0,SHR-NODE-0018,1.0656
NODE-0018,RCP-00011,P07,768.99,192.25,2.2526,0.0,SHR-NODE-0018,1.0656
NODE-0018,RCP-00011,P08,746.58,186.65,2.2476,0.0,SHR-NODE-0018,1.0656
NODE-0018,RCP-00011,P09,730.91,182.73,2.2493,0.15,SHR-NODE-0018,1.0656
NODE-0018,RCP-00011,P10,725.16,181.29,2.2573,0.0,SHR-NODE-0018,1.0656
NODE-0018,RCP-00011,P11,730.49,182.62,2.2694,0.0,SHR-NODE-0018,1.0656
NODE-0018,RCP-00011,P12,745.82,186.46,2.2829,0.0,SHR-NODE-0018,1.0656
NODE-0013,RCP-00012,P01,753.08,188.27,2.6883,0.0,SHR-NODE-0013,1.0502
NODE-0013,RCP-00012,P02,730.1,182.52,2.6828,0.15,SHR-NODE-0013,1.0502
NODE-0013,RCP-00012,P03,708.11,177.03,2.6709,0.0,SHR-NODE-0013,1.0502
NODE-0013,RCP-00012,P04,691.57,172.89,2.6555,0.0,SHR-NODE-0013,1.0502
NODE-0013,RCP-00012,P05,683.86,170.96,2.6404,0.0,SHR-NODE-0013,1.0502
NODE-0013,RCP-00012,P06,686.52,171.63,2.6292,0.0,SHR-NODE-0013,1.0502
NODE-0013,RCP-00012,P07,699.02,174.76,2.6248,0.0,SHR-NODE-0013,1.0502
NODE-0013,RCP-00012,P08,718.83,179.71,2.6281,0.0,SHR-NODE-0013,1.0502
NODE-0013,RCP-00012,P09,741.92,185.48,2.6384,0.0,SHR-NODE-0013,1.0502
NODE-0013,RCP-00012,P10,763.6,190.9,2.6532,0.0,SHR-NODE-0013,1.0502
NODE-0013,RCP-00012,P11,779.46,194.87,2.6688,0.0,SHR-NODE-0013,1.0502
NODE-0013,RCP-00012,P12,786.3,196.57,2.6815,0.0,SHR-NODE-0013,1.0502
NODE-0019,RCP-00013,P01,687.25,171.81,3.2273,0.15,SHR-NODE-0019,1.088
NODE-0019,RCP-00013,P02,665.86,166.47,3.2126,0.0,SHR-NODE-0019,1.088
NODE-0019,RCP-00013,P03,647.42,161.86,3.2057,0.0,SHR-NODE-0019,1.088
NODE-0019,RCP-00013,P04,635.67,158.92,3.2082,0.0,SHR-NODE-0019,1.088
NODE-0019,RCP-00013,P05,633.0,158.25,3.2196,0.0,SHR-NODE-0019,1.088
NODE-0019,RCP-00013,P06,639.95,159.99,3.2371,0.0,SHR-NODE-0019,1.088
NODE-0019,RCP-00013,P07,655.11,163.78,3.2563,0.15,SHR-NODE-0019,1.088
NODE-0019,RCP-00013,P08,675.4,168.85,3.2726,0.0,SHR-NODE-0019,1.088
NODE-0019,RCP-00013,P09,696.7,174.18,3.282,0.0,SHR-NODE-0019,1.088
NODE-0019,RCP-00013,P10,714.69,178.67,3.2821,0.15,SHR-NODE-0019,1.088
NODE-0019,RCP-00013,P11,725.71,181.43,3.2731,0.0,SHR-NODE-0019,1.088
NODE-0019,RCP-00013,P12,727.52,181.88,3.2569,0.15,SHR-NODE-0019,1.088
NODE-0014,RCP-00014,P01,741.7,185.43,2.7591,0.0,SHR-NODE-0014,0.8684
NODE-0014,RCP-00014,P02,756.37,189.09,2.7671,0.0,SHR-NODE-0014,0.8684
NODE-0014,RCP-00014,P03,762.06,190.52,2.7674,0.0,SHR-NODE-0014,0.8684
NODE-0014,RCP-00014,P04,757.64,189.41,2.7598,0.0,SHR-NODE-0014,0.8684
NODE-0014,RCP-00014,P05,743.99,186.0,2.7463,0.0,SHR-NODE-0014,0.8684
NODE-0014,RCP-00014,P06,723.9,180.97,2.7302,0.0,SHR-NODE-0014,0.8684
NODE-0014,RCP-00014,P07,701.43,175.36,2.7153,0.15,SHR-NODE-0014,0.8684
NODE-0014,RCP-00014,P08,681.16,170.29,2.7053,0.0,SHR-NODE-0014,0.8684
NODE-0014,RCP-00014,P09,667.19,166.8,2.7028,0.0,SHR-NODE-0014,0.8684
NODE-0014,RCP-00014,P10,662.37,165.59,2.7082,0.0,SHR-NODE-0014,0.8684
NODE-0014,RCP-00014,P11,667.68,166.92,2.7203,0.0,SHR-NODE-0014,0.8684
NODE-0014,RCP-00014,P12,682.03,170.51,2.7361,0.0,SHR-NODE-0014,0.8684
NODE-0020,RCP-00015,P01,692.83,173.21,2.5952,0.0,SHR-NODE-0020,0.8806
NODE-0020,RCP-00015,P02,672.44,168.11,2.5833,0.0,SHR-NODE-0020,0.8806
NODE-0020,RCP-00015,P03,651.65,162.91,2.5683,0.0,SHR-NODE-0020,0.8806
NODE-0020,RCP-00015,P04,634.7,158.67,2.5538,0.15,SHR-NODE-0020,0.8806
NODE-0020,RCP-00015,P05,625.01,156.25,2.5434,0.0,SHR-NODE-0020,0.8806
NODE-0020,RCP-00015,P06,624.57,156.14,2.5396,0.0,SHR-NODE-0020,0.8806
NODE-0020,RCP-00015,P07,633.45,158.36,2.5434,0.15,SHR-NODE-0020,0.8806
NODE-0020,RCP-00015,P08,649.86,162.46,2.5538,0.0,SHR-NODE-0020,0.8806
NODE-0020,RCP-00015,P09,670.46,167.62,2.5683,0.0,SHR-NODE-0020,0.8806
NODE-0020,RCP-00015,P10,691.07,172.77,2.5833,0.0,SHR-NODE-0020,0.8806
NODE-0020,RCP-00015,P11,707.51,176.88,2.5952,0.0,SHR-NODE-0020,0.8806
NODE-0020,RCP-00015,P12,716.43,179.11,2.601,0.0,SHR-NODE-0020,0.8806
NODE-0015,RCP-00016,P01,558.82,139.7,2.8626,0.0,SHR-NODE-0015,0.8861
NODE-0015,RCP-00016,P02,543.09,135.77,2.8694,0.15,SHR-NODE-0015,0.8861
NODE-0015,RCP-00016,P03,532.8,133.2,2.8681,0.0,SHR-NODE-0015,0.8861
NODE-0015,RCP-00016,P04,530.01,132.5,2.8588,0.0,SHR-NODE-0015,0.8861
NODE-0015,RCP-00016,P05,535.3,133.83,2.844,0.0,SHR-NODE-0015,0.8861
NODE-0015,RCP-00016,P06,547.6,136.9,2.8271,0.0,SHR-NODE-0015,0.8861
NODE-0015,RCP-00016,P07,564.4,141.1,2.8124,0.0,SHR-NODE-0015,0.8861
NODE-0015,RCP-00016,P08,582.3,145.58,2.8035,0.0,SHR-NODE-0015,0.8861
NODE-0015,RCP-00016,P09,597.66,149.42,2.8025,0.0,SHR-NODE-0015,0.8861
NODE-0015,RCP-00016,P10,607.36,151.84,2.8097,0.0,SHR-NODE-0015,0.8861
NODE-0015,RCP-00016,P11,609.43,152.36,2.8233,0.0,SHR-NODE-0015,0.8861
NODE-0015,RCP-00016,P12,603.45,150.86,2.8399,0.0,SHR-NODE-0015,0.8861
NODE-0024,RCP-00017,P01,809.58,202.39,8.5423,0.0,SHR-NODE-0024,1.121
NODE-0024,RCP-00017,P02,785.88,196.47,8.5638,0.0,SHR-NODE-0024,1.121
NODE-0024,RCP-00017,P03,769.17,192.29,8.5608,0.0,SHR-NODE-0024,1.121
NODE-0024,RCP-00017,P04,762.81,190.7,8.5341,0.0,SHR-NODE-0024,1.121
NODE-0024,RCP-00017,P05,768.12,192.03,8.4903,0.0,SHR-NODE-0024,1.121
NODE-0024,RCP-00017,P06,784.01,196.0,8.4401,0.0,SHR-NODE-0024,1.121
NODE-0024,RCP-00017,P07,807.25,201.81,8.3957,0.0,SHR-NODE-0024,1.121
NODE-0024,RCP-00017,P08,833.12,208.28,8.368,0.0,SHR-NODE-0024,1.121
NODE-0024,RCP-00017,P09,856.37,214.09,8.3639,0.0,SHR-NODE-0024,1.121
NODE-0024,RCP-00017,P10,872.28,218.07,8.3843,0.0,SHR-NODE-0024,1.121
NODE-0024,RCP-00017,P11,877.62,219.41,8.4242,0.0,SHR-NODE-0024,1.121
NODE-0024,RCP-00017,P12,871.3,217.83,8.4739,0.0,SHR-NODE-0024,1.121
NODE-0025,RCP-00018,P01,654.69,163.67,6.4648,0.0,,
NODE-0025,RCP-00018,P02,634.32,158.58,6.4305,0.0,,
NODE-0025,RCP-00018,P03,616.32,154.08,6.3925,0.0,,
NODE-0025,RCP-00018,P04,604.34,151.09,6.36,0.0,,
NODE-0025,RCP-00018,P05,600.81,150.2,6.341,0.0,,
NODE-0025,RCP-00018,P06,606.46,151.61,6.3402,0.0,,
NODE-0025,RCP-00018,P07,620.12,155.03,6.3577,0.0,,
NODE-0025,RCP-00018,P08,639.04,159.76,6.3893,0.0,,
NODE-0025,RCP-00018,P09,659.36,164.84,6.4272,0.0,,
NODE-0025,RCP-00018,P10,676.96,169.24,6.4622,0.15,,
NODE-0025,RCP-00018,P11,688.27,172.07,6.4856,0.0,,
NODE-0025,RCP-00018,P12,690.99,172.75,6.4918,0.0,,
NODE-0027,RCP-00019,P01,884.41,221.1,6.8027,0.0,SHR-NODE-0027,0.848
NODE-0027,RCP-00019,P02,882.03,220.51,6.8052,0.0,SHR-NODE-0027,0.848
NODE-0027,RCP-00019,P03,868.49,217.12,6.7882,0.0,SHR-NODE-0027,0.848
NODE-0027,RCP-00019,P04,846.53,211.63,6.7561,0.0,SHR-NODE-0027,0.848
NODE-0027,RCP-00019,P05,820.62,205.15,6.7165,0.0,SHR-NODE-0027,0.848
NODE-0027,RCP-00019,P06,796.01,199.0,6.6792,0.0,SHR-NODE-0027,0.848
NODE-0027,RCP-00019,P07,777.71,194.43,6.6534,0.0,SHR-NODE-0027,0.848
NODE-0027,RCP-00019,P08,769.43,192.36,6.6453,0.0,SHR-NODE-0027,0.848
NODE-0027,RCP-00019,P09,772.85,193.21,6.657,0.0,SHR-NODE-0027,0.848
NODE-0027,RCP-00019,P10,787.28,196.82,6.6855,0.0,SHR-NODE-0027,0.848
NODE-0027,RCP-00019,P11,809.78,202.45,6.724,0.0,SHR-NODE-0027,0.848
NODE-0027,RCP-00019,P12,835.8,208.95,6.7629,0.0,SHR-NODE-0027,0.848
NODE-0028,RCP-00020,P01,721.11,180.28,5.3649,0.0,SHR-NODE-0028,0.9805
NODE-0028,RCP-00020,P02,734.06,183.52,5.3359,0.0,SHR-NODE-0028,0.9805
NODE-0028,RCP-00020,P03,738.02,184.51,5.3171,0.0,SHR-NODE-0028,0.9805
NODE-0028,RCP-00020,P04,732.18,183.05,5.3129,0.0,SHR-NODE-0028,0.9805
NODE-0028,RCP-00020,P05,717.74,179.43,5.3243,0.15,SHR-NODE-0028,0.9805
NODE-0028,RCP-00020,P06,697.61,174.4,5.3487,0.0,SHR-NODE-0028,0.9805
NODE-0028,RCP-00020,P07,675.9,168.97,5.38,0.0,SHR-NODE-0028,0.9805
NODE-0028,RCP-00020,P08,657.0,164.25,5.4105,0.0,SHR-NODE-0028,0.9805
NODE-0028,RCP-00020,P09,644.77,161.19,5.4328,0.0,SHR-NODE-0028,0.9805
NODE-0028,RCP-00020,P10,641.67,160.42,5.4414,0.0,SHR-NODE-0028,0.9805
NODE-0028,RCP-00020,P11,648.34,162.09,5.4343,0.0,SHR-NODE-0028,0.9805
NODE-0028,RCP-00020,P12,663.43,165.86,5.4131,0.0,SHR-NODE-0028,0.9805
NODE-0023,RCP-00021,P01,848.01,212.0,8.64,0.0,SHR-NODE-0023,1.1424
NODE-0023,RCP-00021,P02,827.91,206.98,8.6594,0.0,SHR-NODE-0023,1.1424
NODE-0023,RCP-00021,P03,803.05,200.76,8.6539,0.0,SHR-NODE-0023,1.1424
NODE-0023,RCP-00021,P04,778.48,194.62,8.6249,0.0,SHR-NODE-0023,1.1424
NODE-0023,RCP-00021,P05,759.19,189.8,8.5794,0.0,SHR-NODE-0023,1.1424
NODE-0023,RCP-00021,P06,749.09,187.27,8.5287,0.0,SHR-NODE-0023,1.1424
NODE-0023,RCP-00021,P07,750.24,187.56,8.485,0.0,SHR-NODE-0023,1.1424
NODE-0023,RCP-00021,P08,762.41,190.6,8.4592,0.0,SHR-NODE-0023,1.1424
NODE-0023,RCP-00021,P09,783.12,195.78,8.4575,0.0,SHR-NODE-0023,1.1424
NODE-0023,RCP-00021,P10,808.16,202.04,8.4803,0.0,SHR-NODE-0023,1.1424
NODE-0023,RCP-00021,P11,832.46,208.12,8.5222,0.0,SHR-NODE-0023,1.1424
NODE-0023,RCP-00021,P12,851.08,212.77,8.5727,0.0,SHR-NODE-0023,1.1424
NODE-0026,RCP-00022,P01,716.4,179.1,6.1901,0.0,SHR-NODE-0026,1.085
NODE-0026,RCP-00022,P02,694.27,173.57,6.1589,0.0,SHR-NODE-0026,1.085
NODE-0026,RCP-00022,P03,676.27,169.07,6.1412,0.0,SHR-NODE-0026,1.085
NODE-0026,RCP-00022,P04,666.06,166.52,6.141,0.0,SHR-NODE-0026,1.085
NODE-0026,RCP-00022,P05,665.71,166.43,6.1586,0.0,SHR-NODE-0026,1.085
NODE-0026,RCP-00022,P06,675.29,168.82,6.1896,0.0,SHR-NODE-0026,1.085
NODE-0026,RCP-00022,P07,692.86,173.21,6.2264,0.0,SHR-NODE-0026,1.085
NODE-0026,RCP-00022,P08,714.84,178.71,6.26,0.0,SHR-NODE-0026,1.085
NODE-0026,RCP-00022,P09,736.78,184.2,6.2822,0.0,SHR-NODE-0026,1.085
NODE-0026,RCP-00022,P10,754.22,188.56,6.2875,0.0,SHR-NODE-0026,1.085
NODE-0026,RCP-00022,P11,763.62,190.9,6.2747,0.0,SHR-NODE-0026,1.085
NODE-0026,RCP-00022,P12,763.06,190.77,6.2468,0.0,SHR-NODE-0026,1.085
NODE-0024,RCP-00023,P01,809.58,202.39,5.5803,0.0,SHR-NODE-0024,0.8828
NODE-0024,RCP-00023,P02,785.88,196.47,5.5612,0.0,SHR-NODE-0024,0.8828
NODE-0024,RCP-00023,P03,769.17,192.29,5.5316,0.0,SHR-NODE-0024,0.8828
NODE-0024,RCP-00023,P04,762.81,190.7,5.4989,0.0,SHR-NODE-0024,0.8828
NODE-0024,RCP-00023,P05,768.12,192.03,5.471,0.0,SHR-NODE-0024,0.8828
NODE-0024,RCP-00023,P06,784.01,196.0,5.4548,0.0,SHR-NODE-0024,0.8828
NODE-0024,RCP-00023,P07,807.25,201.81,5.4542,0.0,SHR-NODE-0024,0.8828
NODE-0024,RCP-00023,P08,833.12,208.28,5.4694,0.0,SHR-NODE-0024,0.8828
NODE-0024,RCP-00023,P09,856.37,214.09,5.4966,0.0,SHR-NODE-0024,0.8828
NODE-0024,RCP-00023,P10,872.28,218.07,5.5292,0.0,SHR-NODE-0024,0.8828
NODE-0024,RCP-00023,P11,877.62,219.41,5.5593,0.0,SHR-NODE-0024,0.8828
NODE-0024,RCP-00023,P12,871.3,217.83,5.5794,0.0,SHR-NODE-0024,0.8828
NODE-0027,RCP-00024,P01,884.41,221.1,7.0681,0.0,SHR-NODE-0027,1.1004
NODE-0027,RCP-00024,P02,882.03,220.51,7.0759,0.0,SHR-NODE-0027,1.1004
NODE-0027,RCP-00024,P03,868.49,217.12,7.0632,0.0,SHR-NODE-0027,1.1004
NODE-0027,RCP-00024,P04,846.53,211.63,7.0331,0.0,SHR-NODE-0027,1.1004
NODE-0027,RCP-00024,P05,820.62,205.15,6.9929,0.0,SHR-NODE-0027,1.1004
