approval_id,seller_node_id,buyer_node_id,material_id,approval_status,valid_from_period,valid_to_period,maximum_approved_share,qualification_score,notes
APR-00053,NODE-0017,NODE-0027,MAT-0014,APPROVED,P01,P12,,89.3,Qualified structural source
APR-00054,NODE-0018,NODE-0023,MAT-0015,APPROVED,P01,P12,0.76,96.9,Qualified structural source
APR-00055,NODE-0018,NODE-0024,MAT-0018,APPROVED,P01,P12,0.62,81.2,Qualified structural source
APR-00056,NODE-0018,NODE-0025,MAT-0015,APPROVED,P01,P12,0.74,74.4,Qualified structural source
APR-00057,NODE-0018,NODE-0026,MAT-0018,APPROVED,P01,P12,0.71,93.1,Qualified structural source
APR-00058,NODE-0019,NODE-0024,MAT-0016,APPROVED,P01,P12,0.8,80.9,Qualified structural source
APR-00059,NODE-0019,NODE-0027,MAT-0019,APPROVED,P01,P12,0.68,73.2,Qualified structural source
APR-00060,NODE-0019,NODE-0028,MAT-0016,APPROVED,P01,P12,0.77,88.7,Qualified structural source
APR-00061,NODE-0020,NODE-0024,MAT-0020,APPROVED,P01,P12,0.79,94.5,Qualified structural source
APR-00062,NODE-0020,NODE-0026,MAT-0017,APPROVED,P01,P12,,86.7,Qualified structural source
APR-00063,NODE-0020,NODE-0027,MAT-0020,APPROVED,P01,P12,,92.8,Qualified structural source
APR-00064,NODE-0020,NODE-0028,MAT-0020,APPROVED,P01,P12,0.65,82.9,Qualified structural source
APR-00065,NODE-0021,NODE-0033,MAT-0026,APPROVED,P01,P12,,94.8,Qualified structural source
APR-00066,NODE-0021,NODE-0034,MAT-0026,APPROVED,P01,P12,,74.7,Qualified structural source
APR-00067,NODE-0022,NODE-0029,MAT-0027,APPROVED,P01,P12,,74.0,Qualified structural source
APR-00068,NODE-0023,NODE-0029,MAT-0028,APPROVED,P01,P12,,90.1,Qualified structural source
APR-00069,NODE-0023,NODE-0030,MAT-0023,APPROVED,P01,P12,,88.8,Qualified structural source
APR-00070,NODE-0023,NODE-0030,MAT-0028,APPROVED,P01,P12,,97.4,Qualified structural source
APR-00071,NODE-0023,NODE-0031,MAT-0023,APPROVED,P01,P12,,97.1,Qualified structural source
APR-00072,NODE-0024,NODE-0029,MAT-0021,APPROVED,P01,P12,0.77,88.2,Qualified structural source
APR-00073,NODE-0024,NODE-0031,MAT-0021,APPROVED,P01,P12,0.69,92.5,Qualified structural source
APR-00074,NODE-0024,NODE-0031,MAT-0024,APPROVED,P01,P12,,73.4,Qualified structural source
APR-00075,NODE-0024,NODE-0032,MAT-0024,APPROVED,P01,P12,,80.0,Qualified structural source
APR-00076,NODE-0024,NODE-0033,MAT-0025,APPROVED,P01,P12,,86.9,Qualified structural source
APR-00077,NODE-0025,NODE-0029,MAT-0021,APPROVED,P01,P12,0.72,77.0,Qualified structural source
APR-00078,NODE-0025,NODE-0031,MAT-0021,APPROVED,P01,P12,0.68,94.0,Qualified structural source
APR-00079,NODE-0026,NODE-0030,MAT-0026,APPROVED,P01,P12,,79.4,Qualified structural source
APR-00080,NODE-0026,NODE-0033,MAT-0023,APPROVED,P01,P12,,87.9,Qualified structural source
APR-00081,NODE-0027,NODE-0029,MAT-0022,APPROVED,P01,P12,0.65,91.6,Qualified structural source
APR-00082,NODE-0027,NODE-0029,MAT-0025,APPROVED,P01,P12,,91.9,Qualified structural source
APR-00083,NODE-0027,NODE-0030,MAT-0022,APPROVED,P01,P12,0.68,93.5,Qualified structural source
APR-00084,NODE-0027,NODE-0031,MAT-0027,APPROVED,P01,P12,,77.0,Qualified structural source
APR-00085,NODE-0027,NODE-0032,MAT-0022,APPROVED,P01,P12,0.69,81.4,Qualified structural source
APR-00086,NODE-0027,NODE-0034,MAT-0024,APPROVED,P01,P12,,76.1,Qualified structural source
APR-00087,NODE-0028,NODE-0029,MAT-0022,APPROVED,P01,P12,0.73,83.6,Qualified structural source
APR-00088,NODE-0028,NODE-0030,MAT-0022,APPROVED,P01,P12,0.81,81.9,Qualified structural source
APR-00089,NODE-0028,NODE-0032,MAT-0022,APPROVED,P01,P12,0.73,80.0,Qualified structural source
APR-00090,NODE-0028,NODE-0032,MAT-0028,APPROVED,P01,P12,,87.3,Qualified structural source
APR-00091,NODE-0029,NODE-0035,MAT-0029,APPROVED,P01,P12,0.81,78.2,Qualified structural source
APR-00092,NODE-0029,NODE-0035,MAT-0033,APPROVED,P01,P12,0.64,76.8,Qualified structural source
APR-00093,NODE-0029,NODE-0035,MAT-0035,APPROVED,P01,P12,0.64,80.7,Qualified structural source
APR-00094,NODE-0029,NODE-0036,MAT-0029,APPROVED,P01,P12,0.76,85.6,Qualified structural source
APR-00095,NODE-0029,NODE-0036,MAT-0033,APPROVED,P01,P12,0.7,96.0,Qualified structural source
APR-00096,NODE-0029,NODE-0037,MAT-0029,APPROVED,P01,P12,0.65,85.9,Qualified structural source
APR-00097,NODE-0029,NODE-0037,MAT-0033,APPROVED,P01,P12,0.72,73.3,Qualified structural source
APR-00098,NODE-0029,NODE-0037,MAT-0035,APPROVED,P01,P12,0.75,77.5,Qualified structural source
APR-00099,NODE-0029,NODE-0038,MAT-0035,APPROVED,P01,P12,0.74,92.6,Qualified structural source
APR-00100,NODE-0030,NODE-0035,MAT-0036,APPROVED,P01,P12,0.66,73.2,Qualified structural source
APR-00101,NODE-0030,NODE-0036,MAT-0030,APPROVED,P01,P12,0.71,93.1,Qualified structural source
APR-00102,NODE-0030,NODE-0036,MAT-0034,APPROVED,P01,P12,0.68,85.2,Qualified structural source
APR-00103,NODE-0030,NODE-0036,MAT-0036,APPROVED,P01,P12,0.71,73.4,Qualified structural source
APR-00104,NODE-0030,NODE-0037,MAT-0030,APPROVED,P01,P12,0.65,72.1,Qualified structural source
APR-00105,NODE-0030,NODE-0037,MAT-0034,APPROVED,P01,P12,0.73,82.6,Qualified structural source
APR-00106,NODE-0030,NODE-0038,MAT-0030,APPROVED,P01,P12,0.65,74.5,Qualified structural source
APR-00107,NODE-0030,NODE-0038,MAT-0034,APPROVED,P01,P12,0.65,85.3,Qualified structural source
APR-00108,NODE-0030,NODE-0038,MAT-0036,APPROVED,P01,P12,0.69,85.5,Qualified structural source
APR-00109,NODE-0031,NODE-0035,MAT-0029,APPROVED,P01,P12,0.74,82.0,Qualified structural source
APR-00110,NODE-0031,NODE-0035,MAT-0031,APPROVED,P01,P12,0.73,77.0,Qualified structural source
APR-00111,NODE-0031,NODE-0035,MAT-0035,APPROVED,P01,P12,0.77,92.2,Qualified structural source
APR-00112,NODE-0031,NODE-0036,MAT-0029,APPROVED,P01,P12,0.77,95.2,Qualified structural source
APR-00113,NODE-0031,NODE-0037,MAT-0029,APPROVED,P01,P12,0.75,74.9,Qualified structural source
APR-00114,NODE-0031,NODE-0037,MAT-0031,APPROVED,P01,P12,0.69,97.2,Qualified structural source
APR-00115,NODE-0031,NODE-0037,MAT-0035,APPROVED,P01,P12,0.72,80.4,Qualified structural source
APR-00116,NODE-0031,NODE-0038,MAT-0031,APPROVED,P01,P12,0.81,97.5,Qualified structural source
APR-00117,NODE-0031,NODE-0038,MAT-0035,APPROVED,P01,P12,0.82,82.9,Qualified structural source
APR-00118,NODE-0032,NODE-0035,MAT-0032,APPROVED,P01,P12,0.78,88.0,Qualified structural source
APR-00119,NODE-0032,NODE-0035,MAT-0036,APPROVED,P01,P12,0.7,73.7,Qualified structural source
APR-00120,NODE-0032,NODE-0036,MAT-0030,APPROVED,P01,P12,0.69,83.1,Qualified structural source
APR-00121,NODE-0032,NODE-0036,MAT-0032,APPROVED,P01,P12,0.71,80.8,Qualified structural source
APR-00122,NODE-0032,NODE-0036,MAT-0036,APPROVED,P01,P12,0.8,80.4,Qualified structural source
APR-00123,NODE-0032,NODE-0037,MAT-0030,APPROVED,P01,P12,0.66,80.7,Qualified structural source
APR-00124,NODE-0032,NODE-0038,MAT-0030,APPROVED,P01,P12,0.68,91.5,Qualified structural source
APR-00125,NODE-0032,NODE-0038,MAT-0032,APPROVED,P01,P12,0.67,86.3,Qualified structural source
APR-00126,NODE-0032,NODE-0038,MAT-0036,APPROVED,P01,P12,0.73,80.1,Qualified structural source
APR-00127,NODE-0033,NODE-0035,MAT-0031,APPROVED,P01,P12,0.67,88.3,Qualified structural source
APR-00128,NODE-0033,NODE-0035,MAT-0033,APPROVED,P01,P12,0.76,85.5,Qualified structural source
APR-00129,NODE-0033,NODE-0036,MAT-0033,APPROVED,P01,P12,0.67,76.3,Qualified structural source
APR-00130,NODE-0033,NODE-0037,MAT-0031,APPROVED,P01,P12,0.69,94.5,Qualified structural source
APR-00131,NODE-0033,NODE-0037,MAT-0033,APPROVED,P01,P12,0.64,73.3,Qualified structural source
APR-00132,NODE-0033,NODE-0038,MAT-0031,APPROVED,P01,P12,0.77,91.4,Qualified structural source
APR-00133,NODE-0034,NODE-0035,MAT-0032,APPROVED,P01,P12,0.79,75.8,Qualified structural source
APR-00134,NODE-0034,NODE-0036,MAT-0032,APPROVED,P01,P12,0.75,95.7,Qualified structural source
APR-00135,NODE-0034,NODE-0036,MAT-0034,APPROVED,P01,P12,0.67,89.6,Qualified structural source
APR-00136,NODE-0034,NODE-0037,MAT-0034,APPROVED,P01,P12,0.77,90.9,Qualified structural source
APR-00137,NODE-0034,NODE-0038,MAT-0032,APPROVED,P01,P12,0.75,97.0,Qualified structural source
APR-00138,NODE-0034,NODE-0038,MAT-0034,APPROVED,P01,P12,0.63,85.7,Qualified structural source
