currency,period_id,eur_per_currency_unit,rate_source,scenario_sensitive_flag
INR,P11,0.01093027,SYNTHETIC_FIXED,true
INR,P12,0.010889368,SYNTHETIC_FIXED,true
JPY,P01,0.006079076,SYNTHETIC_FIXED,true
JPY,P02,0.006095085,SYNTHETIC_FIXED,true
JPY,P03,0.006105497,SYNTHETIC_FIXED,true
JPY,P04,0.006109274,SYNTHETIC_FIXED,true
JPY,P05,0.006107002,SYNTHETIC_FIXED,true
JPY,P06,0.006100748,SYNTHETIC_FIXED,true
JPY,P07,0.006093555,SYNTHETIC_FIXED,true
JPY,P08,0.006088697,SYNTHETIC_FIXED,true
JPY,P09,0.006088872,SYNTHETIC_FIXED,true
JPY,P10,0.00609555,SYNTHETIC_FIXED,true
JPY,P11,0.006108608,SYNTHETIC_FIXED,true
JPY,P12,0.006126359,SYNTHETIC_FIXED,true
KRW,P01,0.000681879,SYNTHETIC_FIXED,true
KRW,P02,0.000680582,SYNTHETIC_FIXED,true
KRW,P03,0.000679724,SYNTHETIC_FIXED,true
KRW,P04,0.000679385,SYNTHETIC_FIXED,true
KRW,P05,0.000679518,SYNTHETIC_FIXED,true
KRW,P06,0.000679964,SYNTHETIC_FIXED,true
KRW,P07,0.000680482,SYNTHETIC_FIXED,true
KRW,P08,0.000680818,SYNTHETIC_FIXED,true
KRW,P09,0.00068076,SYNTHETIC_FIXED,true
KRW,P10,0.000680194,SYNTHETIC_FIXED,true
KRW,P11,0.000679129,SYNTHETIC_FIXED,true
KRW,P12,0.000677696,SYNTHETIC_FIXED,true
MAD,P01,0.090018483,SYNTHETIC_FIXED,true
MAD,P02,0.090411492,SYNTHETIC_FIXED,true
MAD,P03,0.090706102,SYNTHETIC_FIXED,true
MAD,P04,0.090884068,SYNTHETIC_FIXED,true
MAD,P05,0.090955704,SYNTHETIC_FIXED,true
MAD,P06,0.090957356,SYNTHETIC_FIXED,true
MAD,P07,0.090942506,SYNTHETIC_FIXED,true
MAD,P08,0.090968675,SYNTHETIC_FIXED,true
MAD,P09,0.091083343,SYNTHETIC_FIXED,true
MAD,P10,0.09131232,SYNTHETIC_FIXED,true
MAD,P11,0.09165343,SYNTHETIC_FIXED,true
MAD,P12,0.092077045,SYNTHETIC_FIXED,true
MXN,P01,0.053620582,SYNTHETIC_FIXED,true
MXN,P02,0.053818925,SYNTHETIC_FIXED,true
MXN,P03,0.053957942,SYNTHETIC_FIXED,true
MXN,P04,0.05402663,SYNTHETIC_FIXED,true
MXN,P05,0.05403121,SYNTHETIC_FIXED,true
MXN,P06,0.053993594,SYNTHETIC_FIXED,true
MXN,P07,0.05394603,SYNTHETIC_FIXED,true
MXN,P08,0.053923196,SYNTHETIC_FIXED,true
MXN,P09,0.053953721,SYNTHETIC_FIXED,true
MXN,P10,0.054053166,SYNTHETIC_FIXED,true
MXN,P11,0.054220218,SYNTHETIC_FIXED,true
MXN,P12,0.054437014,SYNTHETIC_FIXED,true
MYR,P01,0.198287879,SYNTHETIC_FIXED,true
MYR,P02,0.197781355,SYNTHETIC_FIXED,true
MYR,P03,0.197316358,SYNTHETIC_FIXED,true
MYR,P04,0.196900587,SYNTHETIC_FIXED,true
MYR,P05,0.196529691,SYNTHETIC_FIXED,true
MYR,P06,0.196188329,SYNTHETIC_FIXED,true
MYR,P07,0.195853932,SYNTHETIC_FIXED,true
MYR,P08,0.195502223,SYNTHETIC_FIXED,true
MYR,P09,0.195113166,SYNTHETIC_FIXED,true
MYR,P10,0.194675868,SYNTHETIC_FIXED,true
MYR,P11,0.194191246,SYNTHETIC_FIXED,true
MYR,P12,0.193671806,SYNTHETIC_FIXED,true
PLN,P01,0.231134207,SYNTHETIC_FIXED,true
PLN,P02,0.231404969,SYNTHETIC_FIXED,true
PLN,P03,0.231456974,SYNTHETIC_FIXED,true
PLN,P04,0.231249662,SYNTHETIC_FIXED,true
PLN,P05,0.23080596,SYNTHETIC_FIXED,true
PLN,P06,0.230206675,SYNTHETIC_FIXED,true
PLN,P07,0.229570702,SYNTHETIC_FIXED,true
PLN,P08,0.229025922,SYNTHETIC_FIXED,true
PLN,P09,0.228677888,SYNTHETIC_FIXED,true
PLN,P10,0.228583981,SYNTHETIC_FIXED,true
PLN,P11,0.228739364,SYNTHETIC_FIXED,true
PLN,P12,0.229078166,SYNTHETIC_FIXED,true
RON,P01,0.198148302,SYNTHETIC_FIXED,true
RON,P02,0.198755208,SYNTHETIC_FIXED,true
RON,P03,0.199238177,SYNTHETIC_FIXED,true
RON,P04,0.19957423,SYNTHETIC_FIXED,true
RON,P05,0.199776357,SYNTHETIC_FIXED,true
RON,P06,0.199890338,SYNTHETIC_FIXED,true
RON,P07,0.199983535,SYNTHETIC_FIXED,true
RON,P08,0.200128396,SYNTHETIC_FIXED,true
RON,P09,0.200384723,SYNTHETIC_FIXED,true
RON,P10,0.200785026,SYNTHETIC_FIXED,true
RON,P11,0.201326564,SYNTHETIC_FIXED,true
RON,P12,0.201972018,SYNTHETIC_FIXED,true
SEK,P01,0.089631041,SYNTHETIC_FIXED,true
SEK,P02,0.08960935,SYNTHETIC_FIXED,true
SEK,P03,0.089544987,SYNTHETIC_FIXED,true
SEK,P04,0.089430039,SYNTHETIC_FIXED,true
SEK,P05,0.089268979,SYNTHETIC_FIXED,true
SEK,P06,0.08907757,SYNTHETIC_FIXED,true
SEK,P07,0.088879004,SYNTHETIC_FIXED,true
SEK,P08,0.088698227,SYNTHETIC_FIXED,true
SEK,P09,0.088555829,SYNTHETIC_FIXED,true
SEK,P10,0.088463002,SYNTHETIC_FIXED,true
SEK,P11,0.088418805,SYNTHETIC_FIXED,true
SEK,P12,0.088410386,SYNTHETIC_FIXED,true
TRY,P01,0.028283595,SYNTHETIC_FIXED,true
TRY,P02,0.028260363,SYNTHETIC_FIXED,true
TRY,P03,0.028224138,SYNTHETIC_FIXED,true
TRY,P04,0.02817251,SYNTHETIC_FIXED,true
TRY,P05,0.028106842,SYNTHETIC_FIXED,true
TRY,P06,0.028031933,SYNTHETIC_FIXED,true
TRY,P07,0.027954844,SYNTHETIC_FIXED,true
TRY,P08,0.027883173,SYNTHETIC_FIXED,true
TRY,P09,0.027823187,SYNTHETIC_FIXED,true
TRY,P10,0.027778295,SYNTHETIC_FIXED,true
TRY,P11,0.02774821,SYNTHETIC_FIXED,true
TRY,P12,0.027729019,SYNTHETIC_FIXED,true
USD,P01,0.927537341,SYNTHETIC_FIXED,true
USD,P02,0.925572532,SYNTHETIC_FIXED,true
USD,P03,0.923880324,SYNTHETIC_FIXED,true
USD,P04,0.92251126,SYNTHETIC_FIXED,true
USD,P05,0.921436769,SYNTHETIC_FIXED,true
USD,P06,0.920556157,SYNTHETIC_FIXED,true
USD,P07,0.919721262,SYNTHETIC_FIXED,true
USD,P08,0.918772728,SYNTHETIC_FIXED,true
USD,P09,0.917579023,SYNTHETIC_FIXED,true
USD,P10,0.916068641,SYNTHETIC_FIXED,true
USD,P11,0.914247609,SYNTHETIC_FIXED,true
USD,P12,0.912198013,SYNTHETIC_FIXED,true
VND,P01,3.5647e-05,SYNTHETIC_FIXED,true
VND,P02,3.5639e-05,SYNTHETIC_FIXED,true
VND,P03,3.5665e-05,SYNTHETIC_FIXED,true
VND,P04,3.5729e-05,SYNTHETIC_FIXED,true
VND,P05,3.5829e-05,SYNTHETIC_FIXED,true
VND,P06,3.5952e-05,SYNTHETIC_FIXED,true
VND,P07,3.6081e-05,SYNTHETIC_FIXED,true
VND,P08,3.6196e-05,SYNTHETIC_FIXED,true
VND,P09,3.6282e-05,SYNTHETIC_FIXED,true
VND,P10,3.6329e-05,SYNTHETIC_FIXED,true
VND,P11,3.6339e-05,SYNTHETIC_FIXED,true
VND,P12,3.6321e-05,SYNTHETIC_FIXED,true
ZAR,P01,0.048944599,SYNTHETIC_FIXED,true
ZAR,P02,0.049084591,SYNTHETIC_FIXED,true
ZAR,P03,0.049164999,SYNTHETIC_FIXED,true
ZAR,P04,0.049174774,SYNTHETIC_FIXED,true
ZAR,P05,0.049120162,SYNTHETIC_FIXED,true
ZAR,P06,0.049023172,SYNTHETIC_FIXED,true
ZAR,P07,0.04891619,SYNTHETIC_FIXED,true
ZAR,P08,0.048834046,SYNTHETIC_FIXED,true
ZAR,P09,0.048805492,SYNTHETIC_FIXED,true
ZAR,P10,0.048846156,SYNTHETIC_FIXED,true
ZAR,P11,0.048954722,SYNTHETIC_FIXED,true
ZAR,P12,0.049113247,SYNTHETIC_FIXED,true
