duty_rule_id,origin_country_code,destination_country_code,material_family,duty_rate,customs_value_basis,effective_from_period,effective_to_period
DUTY-00032,GB,ES,CONTROL,0.04,GOODS,P01,P12
DUTY-00033,GB,ES,HOUSING,0.075,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00034,GB,ES,MAGNETIC,0.045,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00035,GB,GB,CONTROL,0.0,GOODS,P01,P12
DUTY-00036,GB,MA,CONTROL,0.04,GOODS,P01,P12
DUTY-00037,GB,MX,CONTROL,0.04,GOODS,P01,P12
DUTY-00038,GB,PL,HOUSING,0.075,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00039,GB,PL,MAGNETIC,0.045,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00040,IN,PL,CONDUCTOR,0.035,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00041,IN,PL,MOTION,0.055,GOODS,P01,P12
DUTY-00042,IN,SE,MOTION,0.055,GOODS,P01,P12
DUTY-00043,IN,US,MOTION,0.055,GOODS,P01,P12
DUTY-00044,IT,DE,HOUSING,0.0,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00045,IT,DE,MOTION,0.0,GOODS,P01,P12
DUTY-00046,IT,ES,HOUSING,0.0,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00047,IT,ES,MOTION,0.0,GOODS,P01,P12
DUTY-00048,IT,GB,MOTION,0.055,GOODS,P01,P12
DUTY-00049,IT,MA,SENSING,0.03,GOODS,P01,P12
DUTY-00050,IT,PL,HOUSING,0.0,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00051,JP,CZ,MOTION,0.055,GOODS,P01,P12
DUTY-00052,JP,GB,HOUSING,0.075,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00053,JP,IN,MOTION,0.055,GOODS,P01,P12
DUTY-00054,JP,VN,POWER_ELECTRONICS,0.025,GOODS,P01,P12
DUTY-00055,JP,ZA,POWER_ELECTRONICS,0.025,GOODS,P01,P12
DUTY-00056,KR,BR,MAGNETIC,0.045,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00057,KR,DE,CONDUCTOR,0.035,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00058,KR,DE,INSULATION,0.065,GOODS,P01,P12
DUTY-00059,KR,ES,SENSING,0.03,GOODS,P01,P12
DUTY-00060,KR,GB,CONDUCTOR,0.035,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00061,KR,GB,INSULATION,0.065,GOODS,P01,P12
DUTY-00062,KR,GB,SENSING,0.03,GOODS,P01,P12
DUTY-00063,KR,MA,SENSING,0.03,GOODS,P01,P12
DUTY-00064,KR,MX,SENSING,0.03,GOODS,P01,P12
DUTY-00065,KR,PL,CONDUCTOR,0.035,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00066,KR,PL,INSULATION,0.065,GOODS,P01,P12
DUTY-00067,KR,PL,SENSING,0.03,GOODS,P01,P12
DUTY-00068,MA,DE,SENSING,0.03,GOODS,P01,P12
DUTY-00069,MA,PL,MOTION,0.055,GOODS,P01,P12
DUTY-00070,MA,SE,MOTION,0.055,GOODS,P01,P12
DUTY-00071,MX,DE,CONTROL,0.04,GOODS,P01,P12
DUTY-00072,MX,JP,INSULATION,0.065,GOODS,P01,P12
DUTY-00073,MX,PL,CONTROL,0.04,GOODS,P01,P12
DUTY-00074,MX,SE,CONTROL,0.04,GOODS,P01,P12
DUTY-00075,MY,BR,MAGNETIC,0.045,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00076,MY,CA,INSULATION,0.065,GOODS,P01,P12
DUTY-00077,MY,DE,CONTROL,0.04,GOODS,P01,P12
DUTY-00078,MY,DE,MAGNETIC,0.045,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00079,MY,DE,MOTION,0.055,GOODS,P01,P12
DUTY-00080,MY,ES,CONTROL,0.04,GOODS,P01,P12
DUTY-00081,MY,ES,MAGNETIC,0.045,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00082,MY,ES,MOTION,0.055,GOODS,P01,P12
DUTY-00083,MY,GB,CONTROL,0.04,GOODS,P01,P12
DUTY-00084,MY,GB,MOTION,0.055,GOODS,P01,P12
DUTY-00085,MY,PL,MAGNETIC,0.045,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00086,NL,CA,MOTION,0.055,GOODS,P01,P12
DUTY-00087,NL,DE,CONDUCTOR,0.0,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00088,NL,ES,POWER_ELECTRONICS,0.0,GOODS,P01,P12
DUTY-00089,NL,ES,SENSING,0.0,GOODS,P01,P12
DUTY-00090,NL,GB,CONDUCTOR,0.035,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00091,NL,GB,POWER_ELECTRONICS,0.025,GOODS,P01,P12
DUTY-00092,NL,GB,SENSING,0.03,GOODS,P01,P12
DUTY-00093,NL,IN,MOTION,0.055,GOODS,P01,P12
DUTY-00094,NL,PL,CONDUCTOR,0.0,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00095,NL,PL,POWER_ELECTRONICS,0.0,GOODS,P01,P12
DUTY-00096,NL,PL,SENSING,0.0,GOODS,P01,P12
DUTY-00097,PL,BR,CONDUCTOR,0.035,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00098,PL,BR,MAGNETIC,0.045,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00099,PL,KR,CONDUCTOR,0.035,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00100,PL,MY,MOTION,0.055,GOODS,P01,P12
DUTY-00101,PL,NL,CONDUCTOR,0.0,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00102,PL,NL,MOTION,0.0,GOODS,P01,P12
DUTY-00103,PL,VN,MAGNETIC,0.045,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00104,PL,ZA,INSULATION,0.065,GOODS,P01,P12
DUTY-00105,RO,BR,MAGNETIC,0.045,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00106,RO,CZ,MAGNETIC,0.0,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00107,RO,CZ,POWER_ELECTRONICS,0.0,GOODS,P01,P12
DUTY-00108,RO,IN,POWER_ELECTRONICS,0.025,GOODS,P01,P12
DUTY-00109,RO,KR,CONDUCTOR,0.035,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00110,RO,NL,CONDUCTOR,0.0,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00111,SE,CA,HOUSING,0.075,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00112,SE,FR,HOUSING,0.0,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00113,SE,GB,MAGNETIC,0.045,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00114,SE,KR,MAGNETIC,0.045,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00115,SE,MY,CONTROL,0.04,GOODS,P01,P12
DUTY-00116,SE,MY,MAGNETIC,0.045,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00117,SE,VN,CONDUCTOR,0.035,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00118,TR,KR,SENSING,0.03,GOODS,P01,P12
DUTY-00119,US,GB,CONTROL,0.04,GOODS,P01,P12
DUTY-00120,US,GB,POWER_ELECTRONICS,0.025,GOODS,P01,P12
DUTY-00121,US,KR,CONTROL,0.04,GOODS,P01,P12
DUTY-00122,US,MX,CONTROL,0.0,GOODS,P01,P12
DUTY-00123,US,NL,POWER_ELECTRONICS,0.025,GOODS,P01,P12
DUTY-00124,US,VN,CONDUCTOR,0.035,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00125,US,VN,CONTROL,0.04,GOODS,P01,P12
DUTY-00126,VN,DE,HOUSING,0.075,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00127,VN,JP,HOUSING,0.075,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00128,VN,PL,HOUSING,0.075,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00129,VN,TR,CONDUCTOR,0.035,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00130,ZA,DE,INSULATION,0.065,GOODS,P01,P12
DUTY-00131,ZA,ES,POWER_ELECTRONICS,0.025,GOODS,P01,P12
DUTY-00132,ZA,FR,HOUSING,0.075,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00133,ZA,GB,INSULATION,0.065,GOODS,P01,P12
DUTY-00134,ZA,GB,POWER_ELECTRONICS,0.025,GOODS,P01,P12
DUTY-00135,ZA,MA,HOUSING,0.075,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00136,ZA,PL,INSULATION,0.065,GOODS,P01,P12
DUTY-00137,ZA,PL,POWER_ELECTRONICS,0.025,GOODS,P01,P12
DUTY-00138,ZA,VN,POWER_ELECTRONICS,0.025,GOODS,P01,P12
