contract_id,approval_id,currency,incoterm_code,contract_handling_days,minimum_order_quantity,order_multiple,fixed_order_cost,horizon_activation_cost,payment_terms_days,effective_from_period,effective_to_period,active_flag
CTR-00029,APR-00029,MYR,FCA,2,500.0,250.0,458.7429,9438.6531,45,P01,P12,true
CTR-00030,APR-00030,ZAR,FCA,3,500.0,250.0,2048.7878,47279.7147,30,P01,P12,true
CTR-00031,APR-00031,ZAR,FCA,4,100.0,100.0,1835.8665,50362.3943,45,P01,P12,true
CTR-00032,APR-00032,ZAR,DAP,3,400.0,200.0,11661.2715,30550.252,45,P01,P12,true
CTR-00033,APR-00033,EUR,FCA,4,250.0,250.0,464.8703,2720.7828,60,P01,P12,true
CTR-00034,APR-00034,VND,FCA,2,80.0,20.0,5659397.688,46448064.8377,30,P01,P12,true
CTR-00035,APR-00035,VND,EXW,5,25.0,5.0,14218977.0912,17933282.2577,60,P01,P12,true
CTR-00036,APR-00036,VND,EXW,2,25.0,5.0,17280080.4279,57899531.3472,60,P01,P12,true
CTR-00037,APR-00037,VND,EXW,4,15.0,5.0,11405903.2853,63788857.1636,60,P01,P12,true
CTR-00038,APR-00038,BRL,FCA,1,50.0,10.0,2836.8239,14708.9598,30,P01,P12,true
CTR-00039,APR-00039,BRL,FCA,1,60.0,20.0,2194.6913,13425.6893,30,P01,P12,true
CTR-00040,APR-00040,BRL,FCA,5,20.0,10.0,724.2377,8954.5549,60,P01,P12,true
CTR-00041,APR-00041,BRL,EXW,3,40.0,10.0,1815.7143,11480.2155,30,P01,P12,true
CTR-00042,APR-00042,CZK,EXW,2,40.0,20.0,11582.9977,66173.8028,45,P01,P12,true
CTR-00043,APR-00043,CZK,EXW,4,80.0,20.0,2889.056,43231.8064,30,P01,P12,true
CTR-00044,APR-00044,CZK,FCA,5,20.0,10.0,10400.6309,17179.7621,45,P01,P12,true
CTR-00045,APR-00045,CZK,FCA,2,80.0,20.0,11278.157,66344.989,45,P01,P12,true
CTR-00046,APR-00046,CZK,EXW,5,40.0,10.0,11931.9992,65905.5639,45,P01,P12,true
CTR-00047,APR-00047,INR,EXW,1,60.0,20.0,11874.1766,117825.338,45,P01,P12,true
CTR-00048,APR-00048,INR,EXW,2,80.0,20.0,15543.0409,210147.2713,45,P01,P12,true
CTR-00049,APR-00049,INR,EXW,3,15.0,5.0,52169.9985,202588.7752,60,P01,P12,true
CTR-00050,APR-00050,INR,EXW,4,50.0,10.0,26531.8575,114634.7601,30,P01,P12,true
CTR-00051,APR-00051,CAD,EXW,2,50.0,10.0,261.3704,921.0181,30,P01,P12,true
CTR-00052,APR-00052,CAD,EXW,4,25.0,5.0,654.5482,3101.6554,60,P01,P12,true
CTR-00053,APR-00053,CAD,FCA,1,60.0,20.0,478.8007,3565.352,45,P01,P12,true
CTR-00054,APR-00054,EUR,FCA,4,20.0,10.0,295.1551,674.9692,30,P01,P12,true
CTR-00055,APR-00055,EUR,EXW,3,40.0,10.0,404.7804,697.751,30,P01,P12,true
CTR-00056,APR-00056,EUR,FCA,5,50.0,10.0,398.9117,2462.8486,45,P01,P12,true
CTR-00057,APR-00057,EUR,EXW,3,10.0,5.0,176.5726,825.7308,60,P01,P12,true
CTR-00058,APR-00058,MAD,EXW,2,10.0,5.0,6955.2477,14615.9979,45,P01,P12,true
CTR-00059,APR-00059,MAD,FCA,1,40.0,10.0,4925.0519,13316.6693,60,P01,P12,true
CTR-00060,APR-00060,MAD,EXW,1,15.0,5.0,6520.2835,16329.3547,45,P01,P12,true
CTR-00061,APR-00061,MXN,FCA,1,40.0,10.0,4033.5973,15071.2027,30,P01,P12,true
CTR-00062,APR-00062,MXN,EXW,2,100.0,20.0,4299.2414,29169.6717,45,P01,P12,true
CTR-00063,APR-00063,MXN,FCA,3,80.0,20.0,2121.5138,39613.9873,45,P01,P12,true
CTR-00064,APR-00064,MXN,FCA,1,20.0,5.0,11610.8573,40974.6475,45,P01,P12,true
CTR-00065,APR-00065,EUR,FCA,5,20.0,10.0,245.7168,2293.5537,60,P01,P12,true
CTR-00066,APR-00066,EUR,FCA,3,25.0,5.0,584.8197,1124.4062,30,P01,P12,true
CTR-00067,APR-00067,TRY,EXW,5,40.0,10.0,11664.1268,25003.7268,30,P01,P12,true
CTR-00068,APR-00068,USD,EXW,5,100.0,20.0,256.4842,2834.4107,30,P01,P12,true
CTR-00069,APR-00069,USD,EXW,5,20.0,10.0,181.5089,2821.5911,45,P01,P12,true
CTR-00070,APR-00070,USD,EXW,5,50.0,10.0,114.6472,1896.6455,60,P01,P12,true
CTR-00071,APR-00071,USD,FCA,3,50.0,10.0,127.6197,2562.5684,30,P01,P12,true
CTR-00072,APR-00072,PLN,EXW,5,20.0,10.0,1304.9137,6213.8043,60,P01,P12,true
CTR-00073,APR-00073,PLN,FCA,2,40.0,20.0,2378.534,2625.4757,60,P01,P12,true
CTR-00074,APR-00074,PLN,FCA,3,20.0,10.0,1952.8431,7590.8118,60,P01,P12,true
CTR-00075,APR-00075,PLN,FCA,4,80.0,20.0,1453.8632,8450.2825,60,P01,P12,true
CTR-00076,APR-00076,PLN,FCA,4,40.0,10.0,1986.0777,3648.806,30,P01,P12,true
CTR-00077,APR-00077,RON,EXW,5,10.0,5.0,2926.9883,6419.4734,30,P01,P12,true
CTR-00078,APR-00078,RON,FCA,5,80.0,20.0,847.1398,13611.3113,60,P01,P12,true
CTR-00079,APR-00079,JPY,FCA,1,15.0,5.0,58142.7311,191989.069,30,P01,P12,true
CTR-00080,APR-00080,JPY,FCA,1,100.0,20.0,70839.2873,97592.9163,60,P01,P12,true
CTR-00081,APR-00081,EUR,FCA,5,40.0,10.0,168.1269,2398.0902,60,P01,P12,true
CTR-00082,APR-00082,EUR,FCA,5,15.0,5.0,248.7821,2052.5949,30,P01,P12,true
CTR-00083,APR-00083,EUR,EXW,1,60.0,20.0,365.6793,2455.7745,60,P01,P12,true
CTR-00084,APR-00084,EUR,FCA,5,80.0,20.0,427.8712,838.3126,45,P01,P12,true
CTR-00085,APR-00085,EUR,EXW,3,25.0,5.0,218.4871,2226.2217,60,P01,P12,true
CTR-00086,APR-00086,EUR,FCA,3,60.0,20.0,442.3235,2731.2994,60,P01,P12,true
CTR-00087,APR-00087,SEK,FCA,5,80.0,20.0,2588.0945,8691.7714,60,P01,P12,true
CTR-00088,APR-00088,SEK,FCA,3,15.0,5.0,5252.9081,24033.3634,60,P01,P12,true
CTR-00089,APR-00089,SEK,FCA,4,40.0,20.0,3489.5395,15651.4932,45,P01,P12,true
CTR-00090,APR-00090,SEK,FCA,2,40.0,10.0,6597.6703,28115.6854,45,P01,P12,true
CTR-00091,APR-00091,KRW,FCA,4,20.0,10.0,777742.7634,3870874.1103,60,P01,P12,true
CTR-00092,APR-00092,KRW,FCA,2,20.0,5.0,346604.1295,832821.6017,45,P01,P12,true
CTR-00093,APR-00093,KRW,FCA,5,25.0,5.0,384870.8675,3347577.3915,45,P01,P12,true
CTR-00094,APR-00094,KRW,FCA,4,60.0,20.0,764468.1545,1204448.747,45,P01,P12,true
CTR-00095,APR-00095,KRW,FCA,2,60.0,20.0,249663.4843,934311.2225,30,P01,P12,true
CTR-00096,APR-00096,KRW,FCA,4,20.0,10.0,811463.375,3710459.2012,45,P01,P12,true
CTR-00097,APR-00097,KRW,FCA,1,40.0,10.0,624667.4862,1516376.6377,30,P01,P12,true
CTR-00098,APR-00098,KRW,FCA,4,20.0,5.0,423902.7893,2122656.5537,45,P01,P12,true
CTR-00099,APR-00099,KRW,EXW,5,50.0,10.0,232921.2359,2897511.6979,30,P01,P12,true
CTR-00100,APR-00100,GBP,FCA,5,50.0,10.0,134.5845,1627.5103,45,P01,P12,true
CTR-00101,APR-00101,GBP,EXW,2,50.0,10.0,150.4399,2095.1238,45,P01,P12,true
CTR-00102,APR-00102,GBP,EXW,3,20.0,5.0,535.0149,954.0862,30,P01,P12,true
CTR-00103,APR-00103,GBP,EXW,1,30.0,10.0,185.5078,1455.1986,30,P01,P12,true
CTR-00104,APR-00104,GBP,EXW,4,10.0,5.0,323.8432,2339.0909,45,P01,P12,true
CTR-00105,APR-00105,GBP,EXW,2,20.0,10.0,469.1563,1007.7781,45,P01,P12,true
CTR-00106,APR-00106,GBP,FCA,5,40.0,20.0,405.2737,1898.5258,45,P01,P12,true
CTR-00107,APR-00107,GBP,FCA,2,100.0,20.0,467.0819,940.6942,45,P01,P12,true
CTR-00108,APR-00108,GBP,FCA,2,15.0,5.0,527.3142,1670.8542,30,P01,P12,true
CTR-00109,APR-00109,EUR,FCA,4,60.0,20.0,281.4927,2059.203,60,P01,P12,true
CTR-00110,APR-00110,EUR,FCA,4,25.0,5.0,414.7144,1066.8035,60,P01,P12,true
CTR-00111,APR-00111,EUR,FCA,1,40.0,10.0,451.5395,1499.2108,60,P01,P12,true
CTR-00112,APR-00112,EUR,FCA,5,40.0,20.0,399.8277,2329.1998,30,P01,P12,true
CTR-00113,APR-00113,EUR,FCA,2,15.0,5.0,324.554,1906.1024,60,P01,P12,true
CTR-00114,APR-00114,EUR,FCA,3,60.0,20.0,312.3436,2060.5197,45,P01,P12,true
CTR-00115,APR-00115,EUR,FCA,5,10.0,5.0,280.013,2648.5721,30,P01,P12,true
CTR-00116,APR-00116,EUR,FCA,3,40.0,20.0,246.9913,825.7554,30,P01,P12,true
CTR-00117,APR-00117,EUR,FCA,4,60.0,20.0,165.4816,2609.7988,30,P01,P12,true
CTR-00118,APR-00118,MYR,FCA,3,40.0,10.0,3001.8101,13509.7514,30,P01,P12,true
CTR-00119,APR-00119,MYR,FCA,5,25.0,5.0,933.795,13110.8542,60,P01,P12,true
CTR-00120,APR-00120,MYR,FCA,1,30.0,10.0,960.6992,12107.6152,30,P01,P12,true
CTR-00121,APR-00121,MYR,FCA,1,25.0,5.0,3254.8067,2888.0437,30,P01,P12,true
CTR-00122,APR-00122,MYR,FCA,4,25.0,5.0,531.4618,4592.8613,30,P01,P12,true
CTR-00123,APR-00123,MYR,EXW,3,30.0,10.0,1081.6783,11339.755,45,P01,P12,true
CTR-00124,APR-00124,MYR,EXW,3,60.0,20.0,1011.8727,13881.3622,30,P01,P12,true
CTR-00125,APR-00125,MYR,EXW,2,10.0,5.0,2314.7444,6937.5092,45,P01,P12,true
CTR-00126,APR-00126,MYR,EXW,5,60.0,20.0,2436.7309,3423.7241,30,P01,P12,true
CTR-00127,APR-00127,ZAR,EXW,3,60.0,20.0,3418.8516,50312.4412,60,P01,P12,true
CTR-00128,APR-00128,ZAR,EXW,4,20.0,5.0,3096.3907,55808.2511,30,P01,P12,true
CTR-00129,APR-00129,ZAR,EXW,1,20.0,5.0,2136.7675,16521.904,60,P01,P12,true
CTR-00130,APR-00130,ZAR,FCA,4,60.0,20.0,3957.6156,41856.0558,45,P01,P12,true
CTR-00131,APR-00131,ZAR,FCA,4,40.0,20.0,9429.8158,13784.6227,45,P01,P12,true
CTR-00132,APR-00132,ZAR,FCA,2,25.0,5.0,8966.0493,42353.1165,60,P01,P12,true
CTR-00133,APR-00133,EUR,FCA,4,20.0,5.0,491.0425,1190.9317,30,P01,P12,true
CTR-00134,APR-00134,EUR,EXW,5,20.0,5.0,345.7835,2397.9886,30,P01,P12,true
CTR-00135,APR-00135,EUR,EXW,3,15.0,5.0,107.7882,1836.4794,45,P01,P12,true
CTR-00136,APR-00136,EUR,FCA,1,100.0,20.0,399.6312,1900.7078,30,P01,P12,true
CTR-00137,APR-00137,EUR,FCA,5,40.0,20.0,245.5966,2596.1445,60,P01,P12,true
CTR-00138,APR-00138,EUR,FCA,1,50.0,10.0,407.9986,784.1039,30,P01,P12,true
