node_id,material_id,on_hand_quantity,reserved_quantity,usable_quantity,opening_unit_cost_eur,opening_total_value_eur,cost_basis_source,valuation_date
NODE-0031,MAT-0031,393.17,8.54,384.63,411.59549,158311.973319,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0031,MAT-0035,173.1,5.42,167.68,323.697748,54277.638385,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0032,MAT-0030,421.19,11.19,410.0,383.076985,157061.56385,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0032,MAT-0032,398.45,15.8,382.65,355.709706,136112.319001,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0032,MAT-0036,348.81,7.32,341.49,271.08041,92571.249211,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0033,MAT-0031,158.83,4.98,153.85,325.82891,50128.777804,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0033,MAT-0033,430.94,26.98,403.96,935.505581,377906.834501,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0034,MAT-0032,194.6,9.83,184.77,173.721994,32098.612831,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0034,MAT-0034,113.16,5.21,107.95,204.063534,22028.658495,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0021,MAT-0026,414.55,19.64,394.91,103.000513,40675.932589,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0022,MAT-0027,318.29,17.65,300.64,110.593707,33248.892072,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0023,MAT-0023,487.63,25.79,461.84,230.66648,106531.007123,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0023,MAT-0028,318.51,21.54,296.97,122.117654,36265.279708,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0024,MAT-0021,297.11,20.47,276.64,239.239174,66183.125095,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0024,MAT-0024,516.34,18.44,497.9,110.798125,55166.386437,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0024,MAT-0025,569.42,41.27,528.15,352.487242,186166.136862,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0025,MAT-0021,80.9,1.86,79.04,153.160393,12105.797463,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0026,MAT-0023,417.27,19.69,397.58,190.343295,75676.687226,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0026,MAT-0026,402.66,14.84,387.82,189.117455,73343.531398,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0027,MAT-0022,552.88,25.98,526.9,112.661719,59361.459741,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0027,MAT-0024,246.81,6.07,240.74,141.77611,34131.180721,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0027,MAT-0025,290.12,13.53,276.59,173.747688,48056.873024,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0027,MAT-0027,252.87,5.96,246.91,274.777488,67845.309562,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0028,MAT-0022,448.71,27.19,421.52,180.875299,76242.556034,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0028,MAT-0028,122.62,8.32,114.3,161.642567,18475.745408,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0013,MAT-0013,168.44,5.86,162.58,63.524424,10327.800854,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0013,MAT-0018,221.62,9.32,212.3,76.482476,16237.229655,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0014,MAT-0014,134.81,7.24,127.57,49.280486,6286.711599,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0014,MAT-0019,617.28,22.48,594.8,49.863878,29659.034634,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0015,MAT-0015,291.76,7.15,284.61,116.910724,33273.961158,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0015,MAT-0020,232.29,5.36,226.93,40.427524,9174.218021,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0016,MAT-0013,351.78,18.13,333.65,60.218007,20091.738036,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0016,MAT-0016,1060.73,23.69,1037.04,41.959974,43514.171437,SYNTHETIC_BOOK_VALUE,2027-01-03
