node_id,material_id,period_id,regular_capacity,surge_capacity,surge_unit_premium,planned_downtime_fraction,minimum_supply_quantity
NODE-0002,MAT-0002,P12,5183.16,1451.28,2.7122,0.0,0.0
NODE-0002,MAT-0009,P01,3664.21,1025.98,1.4875,0.0,0.0
NODE-0002,MAT-0009,P02,3529.0,988.12,1.4746,0.0,0.0
NODE-0002,MAT-0009,P03,3437.76,962.57,1.462,0.0,0.0
NODE-0002,MAT-0009,P04,3412.82,955.59,1.4529,0.0,0.0
NODE-0002,MAT-0009,P05,3460.29,968.88,1.4494,0.0,0.0
NODE-0002,MAT-0009,P06,3568.54,999.19,1.4523,0.0,0.0
NODE-0002,MAT-0009,P07,3711.09,1039.1,1.4611,0.0,0.0
NODE-0002,MAT-0009,P08,3853.01,1078.84,1.4735,0.0,0.0
NODE-0002,MAT-0009,P09,3959.57,1108.68,1.4865,0.12,0.0
NODE-0002,MAT-0009,P10,4004.68,1121.31,1.4969,0.0,0.0
NODE-0002,MAT-0009,P11,3977.29,1113.64,1.5021,0.0,0.0
NODE-0002,MAT-0009,P12,3884.1,1087.55,1.501,0.0,0.0
NODE-0003,MAT-0003,P01,4519.79,1265.54,8.1288,0.0,0.0
NODE-0003,MAT-0003,P02,4488.6,1256.81,8.139,0.0,0.0
NODE-0003,MAT-0003,P03,4383.23,1227.3,8.1158,0.0,0.0
NODE-0003,MAT-0003,P04,4229.45,1184.25,8.0648,0.0,0.0
NODE-0003,MAT-0003,P05,4064.93,1138.18,7.9985,0.0,0.0
NODE-0003,MAT-0003,P06,3929.94,1100.38,7.9332,0.0,0.0
NODE-0003,MAT-0003,P07,3857.54,1080.11,7.8848,0.0,0.0
NODE-0003,MAT-0003,P08,3865.44,1082.32,7.8653,0.0,0.0
NODE-0003,MAT-0003,P09,3951.72,1106.48,7.8793,0.0,0.0
NODE-0003,MAT-0003,P10,4095.25,1146.67,7.9234,0.0,0.0
NODE-0003,MAT-0003,P11,4260.89,1193.05,7.9869,0.0,0.0
NODE-0003,MAT-0003,P12,4408.09,1234.26,8.0542,0.0,0.0
NODE-0003,MAT-0010,P01,4044.31,1132.41,2.7059,0.0,0.0
NODE-0003,MAT-0010,P02,3891.75,1089.69,2.6921,0.0,0.0
NODE-0003,MAT-0010,P03,3744.83,1048.55,2.6715,0.0,0.0
NODE-0003,MAT-0010,P04,3639.51,1019.06,2.6492,0.0,0.0
NODE-0003,MAT-0010,P05,3601.59,1008.44,2.6307,0.0,0.0
NODE-0003,MAT-0010,P06,3640.34,1019.3,2.6205,0.0,0.0
NODE-0003,MAT-0010,P07,3746.28,1048.96,2.6211,0.0,0.0
NODE-0003,MAT-0010,P08,3893.48,1090.17,2.6324,0.0,0.0
NODE-0003,MAT-0010,P09,4045.88,1132.85,2.6515,0.0,0.0
NODE-0003,MAT-0010,P10,4166.19,1166.53,2.6739,0.0,0.0
NODE-0003,MAT-0010,P11,4224.94,1182.98,2.694,0.0,0.0
NODE-0003,MAT-0010,P12,4207.74,1178.17,2.7069,0.0,0.0
NODE-0004,MAT-0004,P01,5035.21,1409.86,2.3743,0.0,0.0
NODE-0004,MAT-0004,P02,4840.23,1355.26,2.365,0.0,0.0
NODE-0004,MAT-0004,P03,4666.61,1306.65,2.3559,0.0,0.0
NODE-0004,MAT-0004,P04,4556.87,1275.92,2.3492,0.0,0.0
NODE-0004,MAT-0004,P05,4537.88,1270.61,2.3466,0.12,0.0
NODE-0004,MAT-0004,P06,4614.28,1292.0,2.3486,0.0,0.0
NODE-0004,MAT-0004,P07,4767.37,1334.86,2.3548,0.12,0.0
NODE-0004,MAT-0004,P08,4959.66,1388.71,2.3637,0.0,0.0
NODE-0004,MAT-0004,P09,5144.09,1440.34,2.3731,0.0,0.0
NODE-0004,MAT-0004,P10,5275.48,1477.14,2.3807,0.0,0.0
NODE-0004,MAT-0004,P11,5321.68,1490.07,2.3846,0.0,0.0
NODE-0004,MAT-0004,P12,5271.38,1475.99,2.3839,0.0,0.0
NODE-0004,MAT-0011,P01,5513.34,1543.74,9.1618,0.0,0.0
NODE-0004,MAT-0011,P02,5575.65,1561.18,9.0809,0.0,0.0
NODE-0004,MAT-0011,P03,5537.01,1550.36,9.0141,0.0,0.0
NODE-0004,MAT-0011,P04,5406.88,1513.93,8.9777,0.0,0.0
NODE-0004,MAT-0011,P05,5217.11,1460.79,8.9807,0.12,0.0
NODE-0004,MAT-0011,P06,5014.18,1403.97,9.0223,0.0,0.0
NODE-0004,MAT-0011,P07,4847.76,1357.37,9.0923,0.12,0.0
NODE-0004,MAT-0011,P08,4758.61,1332.41,9.1737,0.0,0.0
NODE-0004,MAT-0011,P09,4768.54,1335.19,9.2464,0.0,0.0
NODE-0004,MAT-0011,P10,4875.13,1365.04,9.2927,0.0,0.0
NODE-0004,MAT-0011,P11,5052.28,1414.64,9.3012,0.0,0.0
NODE-0004,MAT-0011,P12,5256.62,1471.85,9.2699,0.0,0.0
NODE-0005,MAT-0005,P01,4010.68,1122.99,0.9342,0.0,0.0
NODE-0005,MAT-0005,P02,3982.36,1115.06,0.9367,0.0,0.0
NODE-0005,MAT-0005,P03,3888.34,1088.73,0.9351,0.12,0.0
NODE-0005,MAT-0005,P04,3751.64,1050.46,0.93,0.0,0.0
NODE-0005,MAT-0005,P05,3605.73,1009.61,0.9224,0.0,0.0
NODE-0005,MAT-0005,P06,3486.34,976.18,0.9143,0.0,0.0
NODE-0005,MAT-0005,P07,3422.69,958.35,0.9077,0.0,0.0
NODE-0005,MAT-0005,P08,3430.37,960.5,0.9041,0.12,0.0
NODE-0005,MAT-0005,P09,3507.5,982.1,0.9045,0.0,0.0
NODE-0005,MAT-0005,P10,3635.19,1017.85,0.9088,0.0,0.0
NODE-0005,MAT-0005,P11,3782.18,1059.01,0.9158,0.0,0.0
NODE-0005,MAT-0005,P12,3912.49,1095.5,0.924,0.0,0.0
NODE-0005,MAT-0012,P01,4947.05,1385.18,2.3668,0.0,0.0
NODE-0005,MAT-0012,P02,4793.77,1342.26,2.3602,0.0,0.0
NODE-0005,MAT-0012,P03,4609.77,1290.74,2.3477,0.12,0.0
NODE-0005,MAT-0012,P04,4440.1,1243.23,2.3322,0.0,0.0
NODE-0005,MAT-0012,P05,4326.3,1211.36,2.3175,0.0,0.0
NODE-0005,MAT-0012,P06,4296.23,1202.95,2.3073,0.0,0.0
NODE-0005,MAT-0012,P07,4357.26,1220.03,2.3041,0.0,0.0
NODE-0005,MAT-0012,P08,4494.44,1258.44,2.3085,0.12,0.0
NODE-0005,MAT-0012,P09,4674.19,1308.77,2.3196,0.0,0.0
NODE-0005,MAT-0012,P10,4852.49,1358.7,2.3347,0.0,0.0
NODE-0005,MAT-0012,P11,4985.7,1396.0,2.3499,0.0,0.0
NODE-0005,MAT-0012,P12,5041.2,1411.54,2.3617,0.0,0.0
NODE-0006,MAT-0001,P01,4117.47,1152.89,1.7336,0.0,0.0
NODE-0006,MAT-0001,P02,3968.68,1111.23,1.7318,0.0,0.0
NODE-0006,MAT-0001,P03,3873.07,1084.46,1.723,0.0,0.0
NODE-0006,MAT-0001,P04,3854.05,1079.13,1.7094,0.0,0.0
NODE-0006,MAT-0001,P05,3916.27,1096.56,1.6942,0.0,0.0
NODE-0006,MAT-0001,P06,4044.5,1132.46,1.6813,0.12,0.0
NODE-0006,MAT-0001,P07,4207.34,1178.06,1.6737,0.0,0.0
NODE-0006,MAT-0001,P08,4364.93,1222.18,1.6733,0.12,0.0
NODE-0006,MAT-0001,P09,4478.68,1254.03,1.6803,0.0,0.0
NODE-0006,MAT-0001,P10,4520.74,1265.81,1.6928,0.0,0.0
NODE-0006,MAT-0001,P11,4480.81,1254.63,1.7079,0.0,0.0
NODE-0006,MAT-0001,P12,4368.68,1223.23,1.7219,0.0,0.0
NODE-0006,MAT-0006,P01,3838.47,1074.77,1.5291,0.0,0.0
NODE-0006,MAT-0006,P02,3695.8,1034.82,1.53,0.0,0.0
NODE-0006,MAT-0006,P03,3554.57,995.28,1.5258,0.0,0.0
NODE-0006,MAT-0006,P04,3449.39,965.83,1.5175,0.0,0.0
NODE-0006,MAT-0006,P05,3405.98,953.67,1.5072,0.0,0.0
NODE-0006,MAT-0006,P06,3434.99,961.8,1.4974,0.12,0.0
NODE-0006,MAT-0006,P07,3529.31,988.21,1.4904,0.0,0.0
NODE-0006,MAT-0006,P08,3665.84,1026.44,1.488,0.12,0.0
NODE-0006,MAT-0006,P09,3811.17,1067.13,1.4908,0.0,0.0
NODE-0006,MAT-0006,P10,3929.7,1100.32,1.4981,0.0,0.0
NODE-0006,MAT-0006,P11,3992.42,1117.88,1.5081,0.0,0.0
NODE-0006,MAT-0006,P12,3983.97,1115.51,1.5183,0.0,0.0
NODE-0007,MAT-0002,P01,5349.19,1497.77,2.5928,0.0,0.0
NODE-0007,MAT-0002,P02,5167.44,1446.88,2.6027,0.0,0.0
NODE-0007,MAT-0002,P03,4966.32,1390.57,2.6017,0.0,0.0
NODE-0007,MAT-0002,P04,4795.07,1342.62,2.5898,0.0,0.0
NODE-0007,MAT-0002,P05,4695.62,1314.77,2.5701,0.0,0.0
NODE-0007,MAT-0002,P06,4692.31,1313.85,2.5473,0.0,0.0
NODE-0007,MAT-0002,P07,4785.96,1340.07,2.5271,0.0,0.0
NODE-0007,MAT-0002,P08,4953.64,1387.02,2.5143,0.0,0.0
NODE-0007,MAT-0002,P09,5154.29,1443.2,2.5122,0.0,0.0
NODE-0007,MAT-0002,P10,5338.8,1494.86,2.5211,0.0,0.0
NODE-0007,MAT-0002,P11,5461.97,1529.35,2.539,0.12,0.0
NODE-0007,MAT-0002,P12,5493.67,1538.23,2.5615,0.0,0.0
NODE-0007,MAT-0007,P01,4715.65,1320.38,6.1988,0.0,0.0
NODE-0007,MAT-0007,P02,4829.89,1352.37,6.1516,0.0,0.0
NODE-0007,MAT-0007,P03,4864.51,1362.06,6.1148,0.0,0.0
NODE-0007,MAT-0007,P04,4811.03,1347.09,6.0975,0.0,0.0
NODE-0007,MAT-0007,P05,4682.54,1311.11,6.1038,0.0,0.0
NODE-0007,MAT-0007,P06,4510.5,1262.94,6.1323,0.0,0.0
NODE-0007,MAT-0007,P07,4337.04,1214.37,6.1759,0.0,0.0
NODE-0007,MAT-0007,P08,4204.62,1177.29,6.2241,0.0,0.0
NODE-0007,MAT-0007,P09,4145.66,1160.78,6.2649,0.0,0.0
NODE-0007,MAT-0007,P10,4174.6,1168.89,6.2884,0.0,0.0
NODE-0007,MAT-0007,P11,4284.36,1199.62,6.2889,0.12,0.0
NODE-0007,MAT-0007,P12,4448.05,1245.45,6.2662,0.0,0.0
NODE-0008,MAT-0003,P01,4970.92,1391.86,9.8476,0.0,0.0
NODE-0008,MAT-0003,P02,5091.16,1425.53,9.7604,0.0,0.0
NODE-0008,MAT-0003,P03,5127.43,1435.68,9.6821,0.0,0.0
NODE-0008,MAT-0003,P04,5070.84,1419.84,9.6319,0.0,0.0
NODE-0008,MAT-0003,P05,4935.25,1381.87,9.622,0.0,0.0
NODE-0008,MAT-0003,P06,4753.86,1331.08,9.655,0.0,0.0
NODE-0008,MAT-0003,P07,4571.07,1279.9,9.7226,0.0,0.0
NODE-0008,MAT-0003,P08,4431.64,1240.86,9.8084,0.0,0.0
NODE-0008,MAT-0003,P09,4369.71,1223.52,9.8913,0.0,0.0
NODE-0008,MAT-0003,P10,4400.44,1232.12,9.9511,0.0,0.0
NODE-0008,MAT-0003,P11,4516.3,1264.57,9.9731,0.12,0.0
NODE-0008,MAT-0003,P12,4688.94,1312.9,9.9519,0.0,0.0
NODE-0008,MAT-0008,P01,4573.93,1280.7,4.6693,0.0,0.0
NODE-0008,MAT-0008,P02,4489.52,1257.06,4.6671,0.0,0.0
NODE-0008,MAT-0008,P03,4345.73,1216.8,4.6513,0.0,0.0
NODE-0008,MAT-0008,P04,4177.78,1169.78,4.6256,0.0,0.0
NODE-0008,MAT-0008,P05,4026.79,1127.5,4.5964,0.0,0.0
NODE-0008,MAT-0008,P06,3929.72,1100.32,4.5708,0.0,0.0
NODE-0008,MAT-0008,P07,3910.34,1094.9,4.5552,0.0,0.0
NODE-0008,MAT-0008,P08,3973.4,1112.55,4.5532,0.0,0.0
NODE-0008,MAT-0008,P09,4103.45,1148.97,4.5654,0.0,0.0
NODE-0008,MAT-0008,P10,4268.66,1195.23,4.5889,0.0,0.0
NODE-0008,MAT-0008,P11,4428.58,1240.0,4.6178,0.12,0.0
NODE-0008,MAT-0008,P12,4544.04,1272.33,4.6451,0.0,0.0
NODE-0009,MAT-0004,P01,4185.7,1172.0,2.2263,0.0,0.0
NODE-0009,MAT-0004,P02,4030.02,1128.4,2.217,0.0,0.0
NODE-0009,MAT-0004,P03,3876.09,1085.31,2.2022,0.12,0.0
NODE-0009,MAT-0004,P04,3761.61,1053.25,2.1853,0.0,0.0
NODE-0009,MAT-0004,P05,3714.61,1040.09,2.1706,0.0,0.0
NODE-0009,MAT-0004,P06,3746.59,1049.05,2.1616,0.0,0.0
NODE-0009,MAT-0004,P07,3849.72,1077.92,2.1605,0.0,0.0
NODE-0009,MAT-0004,P08,3998.76,1119.65,2.1677,0.0,0.0
NODE-0009,MAT-0004,P09,4157.21,1164.02,2.1813,0.0,0.0
NODE-0009,MAT-0004,P10,4286.28,1200.16,2.198,0.0,0.0
NODE-0009,MAT-0004,P11,4354.36,1219.22,2.2138,0.0,0.0
NODE-0009,MAT-0004,P12,4344.8,1216.54,2.2247,0.0,0.0
NODE-0010,MAT-0005,P01,4292.31,1201.85,1.1218,0.0,0.0
NODE-0010,MAT-0005,P02,4125.65,1155.18,1.1202,0.0,0.0
NODE-0010,MAT-0005,P03,3991.55,1117.63,1.114,0.0,0.0
NODE-0010,MAT-0005,P04,3922.83,1098.39,1.105,0.0,0.0
NODE-0010,MAT-0005,P05,3936.33,1102.17,1.0952,0.0,0.0
NODE-0010,MAT-0005,P06,4028.74,1128.05,1.0871,0.0,0.0
NODE-0010,MAT-0005,P07,4177.43,1169.68,1.0827,0.12,0.0
NODE-0010,MAT-0005,P08,4346.0,1216.88,1.083,0.0,0.0
NODE-0010,MAT-0005,P09,4493.17,1258.09,1.088,0.12,0.0
NODE-0010,MAT-0005,P10,4582.92,1283.22,1.0964,0.0,0.0
NODE-0010,MAT-0005,P11,4593.27,1286.12,1.1062,0.0,0.0
NODE-0010,MAT-0005,P12,4521.69,1266.07,1.115,0.0,0.0
NODE-0010,MAT-0010,P01,5286.43,1480.2,2.3125,0.0,0.0
NODE-0010,MAT-0010,P02,5192.6,1453.93,2.2924,0.0,0.0
NODE-0010,MAT-0010,P03,5028.72,1408.04,2.2769,0.0,0.0
NODE-0010,MAT-0010,P04,4834.92,1353.78,2.2698,0.0,0.0
NODE-0010,MAT-0010,P05,4658.66,1304.43,2.2728,0.0,0.0
NODE-0010,MAT-0010,P06,4543.09,1272.06,2.2853,0.0,0.0
NODE-0010,MAT-0010,P07,4516.5,1264.62,2.3041,0.12,0.0
NODE-0010,MAT-0010,P08,4585.4,1283.91,2.3246,0.0,0.0
NODE-0010,MAT-0010,P09,4732.92,1325.22,2.3418,0.12,0.0
NODE-0010,MAT-0010,P10,4922.95,1378.43,2.3516,0.0,0.0
NODE-0010,MAT-0010,P11,5108.96,1430.51,2.3514,0.0,0.0
NODE-0010,MAT-0010,P12,5245.41,1468.72,2.3414,0.0,0.0
NODE-0011,MAT-0006,P01,4560.88,1277.05,1.7958,0.0,0.0
NODE-0011,MAT-0006,P02,4406.6,1233.85,1.7919,0.0,0.0
NODE-0011,MAT-0006,P03,4320.56,1209.76,1.7866,0.0,0.0
NODE-0011,MAT-0006,P04,4323.82,1210.67,1.7813,0.0,0.0
NODE-0011,MAT-0006,P05,4415.58,1236.36,1.7773,0.0,0.0
NODE-0011,MAT-0006,P06,4573.38,1280.55,1.7755,0.0,0.0
NODE-0011,MAT-0006,P07,4758.58,1332.4,1.7764,0.0,0.0
NODE-0011,MAT-0006,P08,4925.85,1379.24,1.7798,0.0,0.0
NODE-0011,MAT-0006,P09,5034.21,1409.58,1.7848,0.0,0.0
NODE-0011,MAT-0006,P10,5057.15,1416.0,1.7903,0.0,0.0
NODE-0011,MAT-0006,P11,4989.05,1396.93,1.7948,0.0,0.0
NODE-0011,MAT-0006,P12,4846.58,1357.04,1.7973,0.0,0.0
NODE-0011,MAT-0011,P01,4570.44,1279.72,8.0525,0.0,0.0
NODE-0011,MAT-0011,P02,4393.12,1230.07,8.0937,0.0,0.0
NODE-0011,MAT-0011,P03,4236.95,1186.35,8.1021,0.0,0.0
NODE-0011,MAT-0011,P04,4140.16,1159.24,8.0757,0.0,0.0
NODE-0011,MAT-0011,P05,4126.44,1155.4,8.021,0.0,0.0
NODE-0011,MAT-0011,P06,4199.16,1175.77,7.9514,0.0,0.0
NODE-0011,MAT-0011,P07,4340.51,1215.34,7.8839,0.0,0.0
NODE-0011,MAT-0011,P08,4515.89,1264.45,7.835,0.0,0.0
NODE-0011,MAT-0011,P09,4682.35,1311.06,7.8167,0.0,0.0
NODE-0011,MAT-0011,P10,4799.14,1343.76,7.8336,0.0,0.0
NODE-0011,MAT-0011,P11,4837.66,1354.55,7.8814,0.0,0.0
NODE-0011,MAT-0011,P12,4788.49,1340.78,7.9484,0.0,0.0
NODE-0012,MAT-0007,P01,4909.54,1374.67,5.9912,0.0,0.0
NODE-0012,MAT-0007,P02,4723.3,1322.52,5.9711,0.0,0.0
NODE-0012,MAT-0007,P03,4587.86,1284.6,5.9302,0.0,0.0
NODE-0012,MAT-0007,P04,4536.39,1270.19,5.8786,0.0,0.0
NODE-0012,MAT-0007,P05,4581.48,1282.81,5.8289,0.0,0.0
NODE-0012,MAT-0007,P06,4712.09,1319.39,5.7932,0.12,0.0
NODE-0012,MAT-0007,P07,4896.25,1370.95,5.7804,0.12,0.0
NODE-0012,MAT-0007,P08,5088.87,1424.88,5.7935,0.0,0.0
NODE-0012,MAT-0007,P09,5242.78,1467.98,5.8293,0.0,0.0
NODE-0012,MAT-0007,P10,5320.32,1489.69,5.8791,0.12,0.0
NODE-0012,MAT-0007,P11,5302.48,1484.69,5.9307,0.0,0.0
NODE-0012,MAT-0007,P12,5193.64,1454.22,5.9714,0.0,0.0
