node_id,material_id,on_hand_quantity,reserved_quantity,usable_quantity,opening_unit_cost_eur,opening_total_value_eur,cost_basis_source,valuation_date
NODE-0026,MAT-0026,402.66,14.84,387.82,195.844747,75952.509782,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0027,MAT-0022,552.88,25.98,526.9,148.71347,78357.127343,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0027,MAT-0024,246.81,6.07,240.74,137.253673,33042.449238,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0027,MAT-0025,290.12,13.53,276.59,181.326925,50153.214186,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0027,MAT-0027,252.87,5.96,246.91,278.209771,68692.774558,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0028,MAT-0022,448.71,27.19,421.52,133.847721,56419.491356,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0028,MAT-0028,122.62,8.32,114.3,163.180103,18651.485773,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0013,MAT-0013,168.44,5.86,162.58,69.026425,11222.316177,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0013,MAT-0018,221.62,9.32,212.3,56.597032,12015.549894,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0014,MAT-0014,134.81,7.24,127.57,65.050241,8298.459244,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0014,MAT-0019,617.28,22.48,594.8,65.820319,39149.925741,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0015,MAT-0015,291.76,7.15,284.61,86.513936,24622.731325,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0015,MAT-0020,232.29,5.36,226.93,53.364331,12109.967634,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0016,MAT-0013,351.78,18.13,333.65,58.323259,19459.555365,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0016,MAT-0016,1060.73,23.69,1037.04,31.050381,32200.487112,SYNTHETIC_BOOK_VALUE,2027-01-03
