node_id,material_id,allow_inventory_flag,safety_stock_quantity,safety_stock_treatment,maximum_storage_quantity,holding_cost_eur_per_unit_week,minimum_meaningful_pool_quantity,terminal_target_quantity
NODE-0024,MAT-0019,true,0.0,REPORT_ONLY,2340.0,0.5228,0.01,
NODE-0024,MAT-0020,true,112.66,SOFT,2340.0,0.3285,0.01,
NODE-0024,MAT-0021,true,109.55,SOFT,2340.0,0.3617,0.01,
NODE-0024,MAT-0024,true,0.0,REPORT_ONLY,2340.0,0.5025,0.01,
NODE-0024,MAT-0025,true,114.53,HARD,2340.0,0.3967,0.01,
NODE-0025,MAT-0015,false,0.0,REPORT_ONLY,0.0,0.4359,0.01,
NODE-0025,MAT-0021,true,0.0,REPORT_ONLY,2340.0,0.2966,0.01,
NODE-0026,MAT-0017,true,0.0,REPORT_ONLY,2340.0,0.4576,0.01,
NODE-0026,MAT-0018,true,108.13,SOFT,2340.0,0.4303,0.01,
NODE-0026,MAT-0023,true,0.0,REPORT_ONLY,2340.0,0.3037,0.01,
NODE-0026,MAT-0026,true,116.87,HARD,2340.0,0.4944,0.01,
NODE-0027,MAT-0014,true,103.06,SOFT,2340.0,0.3991,0.01,
NODE-0027,MAT-0018,true,104.41,SOFT,2340.0,0.5125,0.01,
NODE-0027,MAT-0019,true,0.0,REPORT_ONLY,2340.0,0.4513,0.01,
NODE-0027,MAT-0020,false,0.0,REPORT_ONLY,0.0,0.3614,0.01,
NODE-0027,MAT-0022,true,0.0,REPORT_ONLY,2340.0,0.3987,0.01,
NODE-0027,MAT-0024,true,102.72,SOFT,2340.0,0.4365,0.01,
NODE-0027,MAT-0025,true,0.0,REPORT_ONLY,2340.0,0.3478,0.01,
NODE-0027,MAT-0027,true,0.0,REPORT_ONLY,2340.0,0.3156,0.01,
NODE-0028,MAT-0016,true,0.0,REPORT_ONLY,2340.0,0.4662,0.01,
NODE-0028,MAT-0020,true,112.07,SOFT,2340.0,0.3896,0.01,
NODE-0028,MAT-0022,true,0.0,REPORT_ONLY,2340.0,0.3194,0.01,
NODE-0028,MAT-0028,true,0.0,REPORT_ONLY,2340.0,0.3457,0.01,
NODE-0029,MAT-0021,true,57.25,HARD,1170.0,0.2698,0.01,
NODE-0029,MAT-0022,false,0.0,REPORT_ONLY,0.0,0.4355,0.01,
NODE-0029,MAT-0025,true,0.0,REPORT_ONLY,1170.0,0.4333,0.01,
NODE-0029,MAT-0027,true,0.0,REPORT_ONLY,1170.0,0.4627,0.01,
NODE-0029,MAT-0028,true,0.0,REPORT_ONLY,1170.0,0.2811,0.01,
NODE-0029,MAT-0029,true,53.7,SOFT,1170.0,0.5244,0.01,
NODE-0029,MAT-0033,true,0.0,REPORT_ONLY,1170.0,0.3747,0.01,
NODE-0029,MAT-0035,true,0.0,REPORT_ONLY,1170.0,0.4905,0.01,
NODE-0030,MAT-0022,true,0.0,REPORT_ONLY,1170.0,0.5283,0.01,
NODE-0030,MAT-0023,true,0.0,REPORT_ONLY,1170.0,0.3733,0.01,
NODE-0030,MAT-0026,true,0.0,REPORT_ONLY,1170.0,0.3931,0.01,
NODE-0030,MAT-0028,true,0.0,REPORT_ONLY,1170.0,0.3069,0.01,
NODE-0030,MAT-0030,true,0.0,REPORT_ONLY,1170.0,0.4472,0.01,
NODE-0030,MAT-0034,true,51.23,SOFT,1170.0,0.3284,0.01,
NODE-0030,MAT-0036,true,0.0,REPORT_ONLY,1170.0,0.3751,0.01,
NODE-0031,MAT-0021,true,0.0,REPORT_ONLY,1170.0,0.4099,0.01,
NODE-0031,MAT-0023,true,0.0,REPORT_ONLY,1170.0,0.3757,0.01,
NODE-0031,MAT-0024,true,0.0,REPORT_ONLY,1170.0,0.4464,0.01,
NODE-0031,MAT-0027,true,0.0,REPORT_ONLY,1170.0,0.4702,0.01,
NODE-0031,MAT-0029,true,0.0,REPORT_ONLY,1170.0,0.3651,0.01,
NODE-0031,MAT-0031,true,53.67,SOFT,1170.0,0.4515,0.01,
NODE-0031,MAT-0035,true,58.13,HARD,1170.0,0.5197,0.01,
NODE-0032,MAT-0022,true,0.0,REPORT_ONLY,1170.0,0.2747,0.01,
NODE-0032,MAT-0024,true,56.7,SOFT,1170.0,0.271,0.01,
NODE-0032,MAT-0028,true,0.0,REPORT_ONLY,1170.0,0.4521,0.01,
NODE-0032,MAT-0030,true,0.0,REPORT_ONLY,1170.0,0.3826,0.01,
NODE-0032,MAT-0032,true,0.0,REPORT_ONLY,1170.0,0.4589,0.01,
NODE-0032,MAT-0036,true,51.67,SOFT,1170.0,0.3252,0.01,
NODE-0033,MAT-0023,true,57.0,HARD,1170.0,0.3886,0.01,
NODE-0033,MAT-0025,true,0.0,REPORT_ONLY,1170.0,0.4909,0.01,
NODE-0033,MAT-0026,false,0.0,REPORT_ONLY,0.0,0.3384,0.01,
NODE-0033,MAT-0031,true,0.0,REPORT_ONLY,1170.0,0.5113,0.01,
NODE-0033,MAT-0033,true,0.0,REPORT_ONLY,1170.0,0.3293,0.01,
NODE-0034,MAT-0024,true,0.0,REPORT_ONLY,1170.0,0.5077,0.01,
NODE-0034,MAT-0026,true,56.19,SOFT,1170.0,0.3955,0.01,
NODE-0034,MAT-0032,true,57.22,HARD,1170.0,0.4337,0.01,
NODE-0034,MAT-0034,true,0.0,REPORT_ONLY,1170.0,0.3231,0.01,
NODE-0035,MAT-0029,true,25.9,SOFT,585.0,0.3633,0.01,
NODE-0035,MAT-0031,true,0.0,REPORT_ONLY,585.0,0.5209,0.01,
NODE-0035,MAT-0032,true,26.46,SOFT,585.0,0.292,0.01,
NODE-0035,MAT-0033,true,0.0,REPORT_ONLY,585.0,0.4295,0.01,
NODE-0035,MAT-0035,true,0.0,REPORT_ONLY,585.0,0.3963,0.01,
NODE-0035,MAT-0036,true,0.0,REPORT_ONLY,585.0,0.3885,0.01,
NODE-0036,MAT-0029,true,27.31,SOFT,585.0,0.4335,0.01,
NODE-0036,MAT-0030,true,26.06,SOFT,585.0,0.3856,0.01,
NODE-0036,MAT-0032,true,0.0,REPORT_ONLY,585.0,0.2886,0.01,
NODE-0036,MAT-0033,true,27.77,SOFT,585.0,0.4487,0.01,
NODE-0036,MAT-0034,true,0.0,REPORT_ONLY,585.0,0.2819,0.01,
NODE-0036,MAT-0036,true,0.0,REPORT_ONLY,585.0,0.4834,0.01,
NODE-0037,MAT-0029,true,27.3,SOFT,585.0,0.4208,0.01,
NODE-0037,MAT-0030,true,0.0,REPORT_ONLY,585.0,0.313,0.01,
NODE-0037,MAT-0031,true,0.0,REPORT_ONLY,585.0,0.306,0.01,
NODE-0037,MAT-0033,true,0.0,REPORT_ONLY,585.0,0.3592,0.01,
NODE-0037,MAT-0034,true,0.0,REPORT_ONLY,585.0,0.5292,0.01,
NODE-0037,MAT-0035,true,0.0,REPORT_ONLY,585.0,0.5066,0.01,
NODE-0038,MAT-0030,true,0.0,REPORT_ONLY,585.0,0.4566,0.01,
NODE-0038,MAT-0031,true,0.0,REPORT_ONLY,585.0,0.4341,0.01,
NODE-0038,MAT-0032,true,0.0,REPORT_ONLY,585.0,0.3221,0.01,
NODE-0038,MAT-0034,true,0.0,REPORT_ONLY,585.0,0.4715,0.01,
NODE-0038,MAT-0035,true,0.0,REPORT_ONLY,585.0,0.3563,0.01,
NODE-0038,MAT-0036,true,0.0,REPORT_ONLY,585.0,0.3058,0.01,
