node_id,material_id,on_hand_quantity,reserved_quantity,usable_quantity,opening_unit_cost_eur,opening_total_value_eur,cost_basis_source,valuation_date
NODE-0033,MAT-0033,546.35,34.21,512.14,855.580659,438177.0787,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0034,MAT-0032,607.69,30.7,576.99,174.495927,100682.40492,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0034,MAT-0034,590.23,27.18,563.05,194.218834,109354.914484,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0021,MAT-0026,533.15,25.26,507.89,112.262281,57016.889897,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0022,MAT-0027,665.82,36.92,628.9,103.511972,65098.679191,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0023,MAT-0023,751.19,39.73,711.46,231.368361,164609.334117,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0023,MAT-0028,602.77,40.77,562.0,122.229274,68692.851988,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0024,MAT-0021,698.13,48.11,650.02,177.036988,115077.58294,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0024,MAT-0024,555.76,19.84,535.92,110.420874,59176.754794,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0024,MAT-0025,639.77,46.37,593.4,359.196873,213147.424438,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0025,MAT-0021,558.47,12.86,545.61,202.171719,110306.911604,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0026,MAT-0023,731.06,34.5,696.56,194.450026,135446.110111,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0026,MAT-0026,568.91,20.96,547.95,195.844747,107313.129119,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0027,MAT-0022,636.8,29.92,606.88,148.71347,90251.230674,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0027,MAT-0024,653.82,16.09,637.73,137.253673,87530.784882,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0027,MAT-0025,584.63,27.26,557.37,181.326925,101066.188187,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0027,MAT-0027,577.88,13.61,564.27,278.209771,156985.427482,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0028,MAT-0022,561.27,34.01,527.26,133.847721,70572.549374,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0028,MAT-0028,646.99,43.9,603.09,163.180103,98412.288318,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0013,MAT-0013,593.03,20.63,572.4,69.026425,39510.72567,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0013,MAT-0018,642.54,27.02,615.52,56.597032,34836.605137,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0014,MAT-0014,630.64,33.85,596.79,65.050241,38821.333326,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0014,MAT-0019,584.79,21.3,563.49,65.820319,37089.091553,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0015,MAT-0015,708.53,17.36,691.17,86.513936,59795.837145,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0015,MAT-0020,715.53,16.52,699.01,53.364331,37302.201012,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0016,MAT-0013,691.82,35.65,656.17,58.323259,38269.972858,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0016,MAT-0016,605.44,13.52,591.92,31.050381,18379.341522,SYNTHETIC_BOOK_VALUE,2027-01-03
